종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정고가,6달 후 수정고가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간),매출총이익률,영업이익률,순이익률,ROE,ROA,매출액증가율(YoY),영업이익증가율(YoY),순이익증가율(YoY),총자산증가율,유동자산증가율,EBITDA증가율(YoY),EBIT증가율(YoY),부채비율,유동비율,당좌비율,자기자본비율,유동자산구성비율,차입금의존도,EBITDA/이자비용,EBIT/이자비용,이자보상배율,매출채권회전율,재고자산회전율,총자산회전율,자기자본회전율,유형자산회전율,매출원가/재고자산,매출원가율,판관비율,자산총계,유동자산,부채총계,자본총계,이익잉여금,매출액,금융비용,이자비용,Free Cash Flow1,Free Cash Flow2
메디톡스,신규상장,KQ,"14,000",2009-01-16,"13,017","16,377","24,691","19,988",15.9,4.09,12.46,7.57,14.88,16.25,4.16,"2,493,737","2,493,737","31,430,804,850","5,059,000",0.413976,"78,414,500,000",17.16,"2,450",214,"3,158.81",-214,"-3,158.81",0,0,84.63,51.07,51.28,38.48,32.11,69.66,101.83,82.69,46.22,88.83,62.19,88.16,20.91,501.59,471.22,82.71,45.33,6.2,184.83,165.32,164.39,8.89384,15.69531,0.62628,0.75039,1.47627,2.41261,15.37,33.56,"32,598,522","14,775,782","5,637,777","26,960,746","14,117,573","17,189,006","53,399","53,399","4,181,953.01","8,617,516"
유비쿼스홀딩스,신규상장,KQ,"6,100",2009-01-23,"3,946","3,284","3,921","4,975",5.79,1.13,3.57,1.13,6.14,6.37,1.24,"3,395,775","3,395,775","12,964,433,780","10,290,000",0.161753,"82,834,500,000",13.95,"1,050",503,"3,934.25",-503,"-3,934.25",0,0,42.34,19.44,23.62,31.45,23.97,66.51,46.66,102.24,69.77,97.74,124.96,134.13,37.31,346.95,325.21,72.83,82.88,11.81,83.43,80.1,62.5,7.3387,14.40926,1.01463,1.33155,61.42454,8.30828,57.66,22.91,"138,183,297","114,525,235","37,550,522","100,632,774","82,908,301","111,394,380","1,388,975","346,414","27,618,197.45","37,197,498"
대성파인텍,신규상장,KQ,"3,500",2009-01-23,466,320,486,473,6.42,0.8,4.4,0.62,4.26,7.6,0.94,"29,626,613","29,626,613","15,168,233,075","2,894,000",1.138333,"12,125,860,000",25.55,"1,135",385,"1,764.63",-385,"-1,764.63",0,0,18.75,11.77,13.27,13.13,7.49,-13.02,4.12,19.6,28.37,13.59,-5.46,-14.99,77.06,172.13,134.04,56.48,45.6,30.73,11.8,7.08,7,2.55813,6.82517,0.56448,0.98999,1.73587,5.54521,81.25,6.99,"28,659,534","13,067,199","12,473,330","16,186,204","13,490,878","14,390,396","241,904","241,904","-4,249,186.96","-4,040,875"
이수앱지스,신규상장,KQ,"5,500",2009-02-03,"8,200","6,631","13,013","25,223",-10.14,9.29,-12.07,16.46,-19.71,-10.82,9.91,"5,525,355","5,525,355","43,622,909,180","7,443,330",0.66162,"68,478,636,000",15.2,"1,300",445,"3,955.55",-445,"-3,955.55",0,0,37.6,-193.61,-204.39,-33.55,-22.47,-10.5,-47.98,-12.69,174.49,485.27,-12.32,-12.98,30.66,910.92,851.39,76.53,70.39,6.12,-35.11,-38.64,-36.08,3.87856,1.73425,0.10994,0.16412,2.48593,1.08224,62.4,231.21,"46,516,521","32,741,223","10,916,549","35,599,973","-27,307,729","3,488,612","187,220","187,220","-11,630,565","-5,831,422"
중국식품포장,신규상장,KQ,"1,500",2009-03-27,"2,595","9,330","5,790","4,610",0.12,3.16,10.07,0.01,0.26,12.17,4.52,"12,008,749","12,008,749","29,044,077,965","20,000,000",0.600437,"51,900,000,000",23.47,"2,595","2,728","6,573.28","-2,383","-5,740.54",0,0,17.09,10.19,10.84,25.65,14.58,4.84,-17.76,-1.05,43.1,-1.9,3.64,-0.89,100.3,106.27,70.77,49.92,52.18,15.83,,,,6.63128,8.2289,1.34483,2.36635,,6.82294,82.91,6.89,"67,695,965","35,322,025","33,899,337","33,796,628","21,870,102","77,329,595","564,391",0,"-1,030,292.50","3,225,401"
엔시트론,신규상장,KQ,"4,500",2009-03-31,"6,331","10,092","6,973","9,144",9.68,3.03,6.7,0.8,7.94,8.68,2.72,"761,223","761,223","4,768,684,650","2,500,000",0.186241,"25,875,000,000",13.95,"10,350",159,"1,637.94",-43,-440.63,0,0,22.19,9.05,8.79,34.59,18.61,42.59,-7.77,51.01,79.84,125.35,53.45,52.16,88.35,240,209.44,53.09,69.04,38.92,18.19,14.57,12.97,29.6341,17.59504,2.11699,3.9352,12.44797,13.6902,77.81,13.15,"31,076,847","21,455,051","14,577,114","16,499,734","10,156,590","51,185,773","357,140","357,140","413,542.89","4,298,155"
코오롱생명과학,신규상장,KQ,"23,500",2009-04-07,"26,528","35,714","29,966","22,941",21.39,6.68,16.02,2.31,20.84,24.34,7.61,"46,978","46,978","1,237,420,000","3,420,000",0.006748,"184,680,000,000",13.86,"54,000",18,942.33,-18,-942.33,0,0,29.93,14.94,10.19,24.02,13.21,23.54,58.61,16.51,43.13,40.4,12.74,9.28,59.69,291.21,192.4,62.62,58.41,13.14,17.27,14.78,17.03,10.47596,5.5321,1.29665,2.35726,4.4359,3.87649,70.07,14.99,"78,802,349","46,031,375","29,455,912","49,346,437","21,149,251","86,782,783","875,227","761,123","-7,907,622.39","-8,356,020"
뷰웍스,신규상장,KQ,"9,000",2009-04-10,"13,821","12,553","8,880","9,782",16.78,5.15,15.68,4.87,20.61,20.27,6.22,"5,801","5,801","80,130,600","6,047,910",0.00064,"125,191,737,000",13.95,"20,700",3,66.3,-3,-66.3,0,0,50.19,25.65,22.28,20.77,19.15,20.06,4.33,-7.85,64.67,67.69,-2.92,-7.65,6.58,"1,131.57",824.68,93.83,69.81,0,,,,7.03922,4.1308,0.85982,0.93224,6.39889,2.0575,49.81,24.54,"36,980,601","25,816,405","2,281,464","34,699,136","20,942,814","25,553,136","102,177",0,"1,046,790.87","4,082,304"
에스앤에스텍,신규상장,KQ,"4,000",2009-04-14,"9,200","6,110","4,800","5,630",29.81,3.84,12.16,3.02,16.82,26.05,3.35,"203,599","203,599","1,873,109,600","10,915,980",0.018651,"100,427,016,000",13.95,"9,200",200,"1,840",-200,"-1,840",0,0,24.03,11.95,13.22,17.58,9.92,33.07,7.61,73.43,32.83,52.01,13.77,23.61,66.78,165.31,142.52,59.96,44.16,24.64,10.12,5.94,5.67,5.02939,10.93344,0.75047,1.32959,1.60025,8.30655,75.97,12.08,"76,877,536","33,952,483","30,782,519","46,095,018","14,143,718","50,564,695","1,066,164","1,066,164","-205,721.77","1,303,501"
에이테크솔루션,신규상장,KQ,"5,400",2009-04-17,"12,400","9,910","8,500","16,600",14.85,5.64,10.89,1.01,10.29,15.68,5.93,"26,425","26,425","327,650,800","10,000,000",0.002642,"124,000,000,000",13.79,"12,400",22,268.67,-22,-268.67,0,0,14.03,7.8,7.23,28.47,9.73,12.9,24.77,20.43,51.43,41.45,19.35,21.78,156.26,97.71,35.25,39.02,50.63,13.3,48.06,36.47,32.59,10.27151,3.93471,1.34574,3.93684,3.24559,3.38282,85.97,6.23,"117,849,193","59,669,588","71,861,391","45,987,802","19,217,004","131,664,619","315,100","315,100","-1,395,077.01","-3,423,246"
