종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정주가,6달 후 수정주가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간)
메디톡스,신규상장,KQ,"14,000",2009-01-16,"13,017","16,377","22,801","18,770",15.9,4.09,12.46,7.57,14.88,16.25,4.16,"2,493,737","2,493,737","31,430,804,850","5,059,000",0.413976,"78,414,500,000",17.16,"2,450",214,"3,158.81",-214,"-3,158.81",0,0
유비쿼스홀딩스,신규상장,KQ,"6,100",2009-01-23,"3,946","3,284","3,799","4,877",5.79,1.13,3.57,1.13,6.14,6.37,1.24,"3,395,775","3,395,775","12,964,433,780","10,290,000",0.161753,"82,834,500,000",13.95,"1,050",503,"3,934.25",-503,"-3,934.25",0,0
대성파인텍,신규상장,KQ,"3,500",2009-01-23,466,320,469,468,6.42,0.8,4.4,0.62,4.26,7.6,0.94,"29,626,613","29,626,613","15,168,233,075","2,894,000",1.138333,"12,125,860,000",25.55,"1,135",385,"1,764.63",-385,"-1,764.63",0,0
이수앱지스,신규상장,KQ,"5,500",2009-02-03,"8,200","6,631","12,389","24,332",-10.14,9.29,-12.07,16.46,-19.71,-10.82,9.91,"5,525,355","5,525,355","43,622,909,180","7,443,330",0.66162,"68,478,636,000",15.2,"1,300",445,"3,955.55",-445,"-3,955.55",0,0
중국식품포장,신규상장,KQ,"1,500",2009-03-27,"2,595","9,330","5,440","4,515",0.12,3.16,10.07,0.01,0.26,12.17,4.52,"12,008,749","12,008,749","29,044,077,965","20,000,000",0.600437,"51,900,000,000",23.47,"2,595","2,728","6,573.28","-2,383","-5,740.54",0,0
엔시트론,신규상장,KQ,"4,500",2009-03-31,"6,331","10,092","6,453","9,144",9.68,3.03,6.7,0.8,7.94,8.68,2.72,"761,223","761,223","4,768,684,650","2,500,000",0.186241,"25,875,000,000",13.95,"10,350",159,"1,637.94",-43,-440.63,0,0
코오롱생명과학,신규상장,KQ,"23,500",2009-04-07,"26,528","35,714","29,377","22,548",21.39,6.68,16.02,2.31,20.84,24.34,7.61,"46,978","46,978","1,237,420,000","3,420,000",0.006748,"184,680,000,000",13.86,"54,000",18,942.33,-18,-942.33,0,0
뷰웍스,신규상장,KQ,"9,000",2009-04-10,"13,821","12,553","8,480","9,548",16.78,5.15,15.68,4.87,20.61,20.27,6.22,"5,801","5,801","80,130,600","6,047,910",0.00064,"125,191,737,000",13.95,"20,700",3,66.3,-3,-66.3,0,0
에스앤에스텍,신규상장,KQ,"4,000",2009-04-14,"9,200","6,110","4,630","5,550",29.81,3.84,12.16,3.02,16.82,26.05,3.35,"203,599","203,599","1,873,109,600","10,915,980",0.018651,"100,427,016,000",13.95,"9,200",200,"1,840",-200,"-1,840",0,0
에이테크솔루션,신규상장,KQ,"5,400",2009-04-17,"12,400","9,910","8,230","16,400",14.85,5.64,10.89,1.01,10.29,15.68,5.93,"26,425","26,425","327,650,800","10,000,000",0.002642,"124,000,000,000",13.79,"12,400",22,268.67,-22,-268.67,0,0
엔에스브이,신규상장,KQ,"4,300",2009-04-17,"9,890","7,460","7,640","7,800",23.21,5.32,21.57,2.14,131.73,33.15,7.59,"3,002,435","3,002,435","29,653,516,140","8,450,000",0.355318,"83,570,500,000",13.95,"9,890",819,"8,087.54",-760,"-7,505.17",0,0
에스티오,신규상장,KQ,"5,000",2009-04-17,"4,796","2,586","1,848","1,672",9.23,2.33,7.31,0.68,63,11.23,2.84,"2,557,422","2,557,422","12,255,287,600","4,998,801",0.213377,"57,486,211,500",13.95,"11,500",322,"3,706.31",-110,"-1,260.34",0,0
티플랙스,신규상장,KQ,"3,000",2009-04-23,"3,022","2,531","2,282","1,991",9.15,1.61,10.37,0.55,11.36,11.13,1.94,"87,315","87,315","263,558,700","5,753,000",0.006647,"39,695,700,000",13.95,"6,900",13,92.12,-13,-92,0,0
네프로아이티,신규상장,KQ,"4,500",2009-04-24,"8,811","11,748","9,790","4,640",17.15,2.18,5.65,1.03,18.47,22.25,2.83,"2,334","2,334","20,357,550","3,400,000",0.000584,"35,190,000,000",13.95,"10,350",0,,,,,
흥국,신규상장,KQ,"4,200",2009-05-12,"4,830","3,965","3,170","2,005",15.78,2.41,11.88,0.88,-906.68,19.12,2.92,"1,972,450","1,972,450","9,465,259,230","5,328,000",0.185102,"51,468,480,000",13.95,"9,660",162,"1,560.03",-148,"-1,420.22",0,0
SDN,신규상장,KQ,"10,000",2009-05-19,"8,500","6,450","5,575","5,900",28.11,7.52,44.2,1.37,-87.68,41.04,10.97,"16,360,826","16,360,826","171,452,677,900","10,000,000",0.818041,"170,000,000,000",30,"23,000","1,356","28,838.38","-1,228","-26,089.73",0,0
한국정밀기계,신규상장,KQ,"22,000",2009-05-19,"46,000","61,636","43,091","34,682",11.72,4.9,13.74,2.04,28.93,16.76,7.01,"1,128,596","1,128,596","51,890,726,800","7,640,000",0.134293,"386,584,000,000",13.95,"50,600",-32,"-1,635.73",50,"2,534.28",0,0
에이치디,신규상장,KQ,"8,500",2009-05-21,"2,658","1,764","1,838","1,263",10.17,2.87,8.29,1.37,4.15,14.58,4.1,"34,648,446","34,648,446","98,320,901,100","8,150,000",0.697521,"132,030,000,000",26.01,"19,550","1,095","19,521.45",-996,"-17,723.73",0,0
스맥,신규상장,KQ,"3,500",2009-05-26,"7,583","4,569","3,919","3,160",14.58,2.21,13.31,3.23,5.13,16.29,2.47,"271,776","271,776","2,060,420,250","5,650,000",0.045312,"45,482,500,000",13.95,"8,050",83,667.42,-79,-638.57,0,0
이엔에프테크놀로지,신규상장,KQ,"5,500",2009-05-28,"9,350","6,800","8,460","9,300",14.89,3.77,12.59,1.5,14.72,18.38,4.65,"6,923,643","6,923,643","74,461,350,820","14,200,000",0.48758,"132,770,000,000",30,"12,650","1,025","11,337.70",-969,"-10,706.97",0,0
차이나그레이트,신규상장,KQ,"1,700",2009-05-29,"3,135","2,581","1,890","1,872",15.38,3.89,14.5,1.69,26.06,21.99,5.56,"89,821,399","89,821,399","295,807,831,560","100,000,000",0.816272,"345,000,000,000",16.32,"3,910","13,492","50,304.04","-13,265","-49,461.80",0,0
위메이드맥스,신규상장,KQ,"55,000",2009-06-03,"41,412","30,738","27,372","18,691",14.94,8.44,13.81,7.77,12.78,18.57,10.42,"1,383,793","1,383,793","65,098,911,900","3,400,000",0.180264,"317,900,000,000",30,"126,500",177,"19,438.30",-145,"-15,564.47",0,0
어보브반도체,신규상장,KQ,"3,300",2009-06-05,"5,980","3,655","3,130","3,450",17.69,4.06,14.77,1.77,46.38,17.38,3.99,"6,478,298","6,478,298","36,864,387,940","10,546,833",0.614241,"63,070,061,340",16.47,"5,980",475,"2,508.17",-458,"-2,417.77",0,0
동일금속,신규상장,KQ,"8,000",2009-07-28,"8,865","8,017","6,059","6,213",2.36,1.85,4.27,0.36,2.17,6.15,2.63,"9,190,706","9,190,706","78,404,579,450","7,000,000",1.012072,"80,500,000,000",13.95,"11,500","1,069","11,350.22",-970,"-10,230.92",0,0
