종목명,상장유형,공모가(원),상장일,상장주식수,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,매출액증가율(YoY)-before,영업이익증가율(YoY)-before
메디톡스,신규상장,14000,2009-01-16,5059000,65.7,30.26,12.17,44.7,4.72,743.39,586.98,28.14,81.53,6.09,6.99,5145716,1598909,1500498,13813309,2195776,-552921,878.15,235.17
유비쿼스홀딩스,신규상장,6100,2009-01-23,10290000,48.35,26.28,40.4,28.89,21.69,472.9,435.93,25.03,,7.45,16.23,68201559,19589500,18463729,54938168,18749605,-49497675,24.73,45.45
대성파인텍,신규상장,3500,2009-01-23,2894000,18.69,13.18,18.51,13.9,22.29,227.45,200.78,87.45,6.64,3.65,11.09,15898770,2332162,1941499,11538961,3363991,2483634,13.51,7.08
이수앱지스,신규상장,5500,2009-02-03,7443330,53.43,-170.86,-37.02,25.54,7.53,1012.28,859.09,45.09,-41.92,5.97,2.09,2152135,-3728076,-3728076,13230273,-3225861,-5917842,44.54,-1.05
중국식품포장,신규상장,1500,2009-03-27,20000000,15.99,11.28,40.84,3.39,15.68,179.05,119.33,65.06,,8.45,10.1,38250592,4544146,4262983,11482277,4772272,-1562943,1509.29,2356.57
엔시트론,신규상장,4500,2009-03-31,2500000,25.71,12.77,49.25,378.89,10138.19,189.23,130.56,75.86,32.72,26.42,10.42,22440075,1682215,2608256,6661795,3386693,145310,,
코오롱생명과학,신규상장,23500,2009-04-07,3420000,26.5,11.63,37.02,22.29,96.49,152.12,79.02,126.72,10.08,15.89,5.32,70247079,9572144,7588482,24283675,9537478,2192693,18.05,10.53
뷰웍스,신규상장,9000,2009-04-10,6047910,58.88,29.52,36.4,27.25,22.89,659.02,429.13,11.61,,7,5.03,21282881,6992919,6176766,20121709,7073321,-5824819,66.15,68.34
에스앤에스텍,신규상장,4000,2009-04-14,10915980,27.47,14.77,13.73,34.75,53.92,177.25,141,93.14,4.22,4.92,10.43,38000101,3955464,3855592,29965769,9969259,14809774,38.61,1003.14
에이테크솔루션,신규상장,5400,2009-04-17,10000000,14.21,7.06,48.9,14.41,86.87,85.09,27.04,272.37,10.46,10.91,5.07,116624209,8747932,7907058,20900621,11484190,14148362,11.06,75.91
엔에스브이,신규상장,4300,2009-04-17,8450000,29.04,17.26,25.87,7.2,22.05,129.48,61.29,141.07,8.92,4.25,3.34,27308702,3017295,2520680,11004192,5485267,9257135,61.19,129.18
