종목명,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,시장수익률,광의통화 증감률,고객예탁금 증감률,3개월 시장 회전율,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률
코오롱생명과학,0.265038949,0.116337962,0.312493146,1.521216174,0.790164089,1.267153798,10.07854764,13.0373982,4.458561454,0.222942325,0.964914584,10.59105102,3.309630853,8.426985907,-0.441706161,0.101129375,-0.002811353,318.7071707,1.85106383,1.544680851,0.953191489
뷰웍스,0.588840251,0.295151347,0.306970248,6.590178012,4.291268083,0.116097743,inf,6.458550549,3.962961197,0.272505653,0.22886369,8.81224738,2.705097763,7.694457127,-0.420971992,0.101129375,-0.051091301,314.8158239,1.011111111,0.411111111,0.588888889
에스앤에스텍,0.274725086,0.147742107,0.128666546,1.772446461,1.409949115,0.931423585,4.224838753,4.326092347,8.318568133,0.347533593,0.53917424,11.32482898,1.45712663,4.38134166,-0.392742929,0.101129375,0.049892352,307.7517888,0.425,0.1575,0.3875
에이테크솔루션,0.142112329,0.070574541,0.378316893,0.850896063,0.270432199,2.723670268,10.46165931,11.08680718,4.05256838,0.144141689,0.8687101,6.829341583,2.583655289,4.703348548,-0.384881546,0.101129375,0.102989808,299.7051295,0.783333333,0.524074074,2.037037037
엔에스브이,0.290371619,0.172593227,0.229065433,1.294780977,0.612895127,1.410723841,8.921393338,3.751355587,3.024717916,0.071950449,0.220514065,14.4147611,3.301923485,6.625795451,-0.384881546,0.101129375,0.102989808,299.7051295,0.641860465,0.776744186,0.813953488
에스티오,0.691725208,0.111435878,0.252757975,1.922324119,0.483259414,1.078552964,15.86825504,17.34611531,3.304594682,0.320880798,-0.104477207,4.881882835,1.23393482,2.705915664,-0.384881546,0.101129375,0.102989808,299.7051295,0.196,-0.114,-0.198
티플랙스,0.125885787,0.092773182,0.174179097,2.281101154,1.170917394,1.148893064,4.979008229,6.509284196,4.89297447,0.091977896,0.026525945,4.839918687,0.843012666,2.95145775,-0.371073339,0.101129375,0.065711597,291.9551608,0.8,0.736666667,0.461666667
네프로아이티,0.728706229,0.180836122,0.127141552,0.989672305,0.922943722,1.743850415,13.90034638,2.218900699,25.54745811,1.162867139,1.225149491,9.673509568,1.22990502,1.477820513,-0.364370598,0.101129375,0.077248762,290.4737775,1.822222222,1.555555556,0.031111111
우림피티에스,0.317355838,0.262267063,0.385465811,1.305985611,0.956427596,0.634813301,60.6051024,4.097944148,9.104855981,0.711707734,0.831805763,7.918851484,3.052446507,5.457431031,-0.349536751,0.101129375,0.122119201,285.2449036,0.75,0.35,-0.003
신텍,0.188360142,0.147335149,0.181350722,1.070210473,0.978136475,2.347741573,11.16674113,2.216169651,19.54592176,0.659928885,1.2871409,16.83844596,3.053664339,5.343767928,-0.363219066,0.088467457,0.179681192,282.6400284,1.928,1.056,1.048
