Name,Item,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31
코오롱생명과학,유동자산,25533779.0,32785073.0,46031375.0,44206298.0,97241204.04,77360599.5,86848312.03,68856857.49,82379227.63,196816283.1,150975687.4,105716540.2,95289916.23,100563064.3
코오롱생명과학,재고자산,10644432.0,15755548.0,15618696.0,19115141.0,27868369.44,35830022.56,43285477.91,42591550.57,36251496.64,34733861.77,46531504.63,37427097.61,36063860.73,42790379.41
코오롱생명과학,매출채권및기타채권,5648100.0,5388121.0,13565664.0,9965387.0,30166989.13,24744825.79,22196713.23,18057581.85,17273450.97,21469489.05,21694342.65,24528850.09,29457396.0,34947534.1
코오롱생명과학,당좌자산,14889346.0,17029524.0,30412677.0,25091156.0,69372834.61,41530576.94,43562834.13,26265306.92,46127730.99,162082421.0,104444183.4,68289442.79,55096054.76,57772684.52
코오롱생명과학,부채총계,21149619.0,30771151.0,29455912.0,26077140.0,76232230.22,85597257.82,83270342.39,72721184.54,93174227.4,94784487.58,171384499.2,172757458.7,177274347.8,190380560.5
코오롱생명과학,유동부채,15409211.0,21551883.0,15806783.0,16154643.0,33727509.47,40049722.02,46300641.29,37535928.69,38440732.87,70211932.73,63056024.12,77009484.87,126173393.8,145152196.3
코오롱생명과학,순부채,-512263.0,2192693.0,-5879512.0,-7168698.0,16192890.96,43880160.82,41306896.9,50994167.37,47356587.34,-76866252.97,-29783357.99,27296114.78,57819596.21,61997897.39
코오롱생명과학,자본총계,16716112.0,24283675.0,49346437.0,57806128.0,73336116.72,106698318.2,123627654.2,136174777.7,135442195.9,259788454.3,545412213.6,446145814.2,101020433.2,57957133.08
코오롱생명과학,매출액,57441040.0,70247079.0,86782783.0,101882913.0,117192615.1,141254377.8,139611274.6,130632845.4,121175339.3,158284401.0,118102020.6,132680188.6,148541237.0,129412917.6
코오롱생명과학,매출총이익,12139562.0,18618212.0,25971767.0,25935239.0,33656360.14,45894017.85,43362085.4,33085180.58,25891126.17,48596708.43,28648285.84,10728900.77,25558916.16,18896079.66
코오롱생명과학,영업이익,4159164.0,8172402.0,12962439.0,9547819.0,12580121.74,22309259.94,18339171.63,9395533.47,2182724.24,18458994.96,-5544860.04,-34561006.2,-26542592.83,-25835487.49
코오롱생명과학,당기순이익,3450948.0,7588482.0,8841349.0,8564699.0,11169272.55,18902265.35,17228115.42,5855259.51,800139.3,12665386.97,-1403754.61,-50689554.41,-92323436.7,-43195229.0
코오롱생명과학,이자비용,581449.0,810871.0,761123.0,423692.0,1771028.0,1661733.0,1752195.0,2106820.0,1442807.0,1406669.0,1028162.0,1485296.0,3741357.0,5518087.0
코오롱생명과학,EBITDA2,5115880.0,9537478.0,14858404.0,12563794.0,15949817.89,26206494.9,25450104.91,18756993.04,11417606.23,27938483.21,5692962.02,-19718413.25,-12503572.91,-12805788.94
뷰웍스,유동자산,8941726.0,15395216.0,25816405.0,28964194.0,33504311.38,36846332.33,45369861.25,45309910.38,60826803.17,92225304.78,98645893.91,106718340.4,124410858.8,118201050.7
뷰웍스,재고자산,3084158.0,5370449.0,7001537.0,7735442.0,10773598.22,13870612.96,11741056.97,14771892.72,14584887.83,22490078.76,21596920.0,24120047.31,33227052.58,49485094.24
뷰웍스,매출채권및기타채권,2825120.0,3295303.0,4144577.0,6052832.0,8740219.0,7318200.0,9529800.0,10341885.0,16530657.0,25374583.0,22633531.0,22364108.0,21130977.0,23902667.0
뷰웍스,당좌자산,5857568.0,10024767.0,18814867.0,21228753.0,22730713.22,22975719.61,33628803.92,30538017.91,46241914.47,69735224.96,77048974.37,74703626.0,91183807.52,68715955.51
뷰웍스,부채총계,1087567.0,2336085.0,2281464.0,2457231.0,4781327.13,4735632.57,14482364.46,13444133.36,12297696.71,19564784.36,11559304.81,15630372.91,19560680.76,26280947.76
뷰웍스,유동부채,1087567.0,2336085.0,2281464.0,2457231.0,4110451.43,3733877.44,5627729.63,8785049.11,8284503.73,16748172.43,10745794.8,13406148.87,16881808.37,24956375.21
뷰웍스,순부채,-2741585.0,-5824819.0,-13954214.0,-14263761.0,-12967848.4,-13912994.87,-14775298.63,-9815032.56,-24732963.37,-39823125.29,-46344022.7,-56446709.25,-63327292.9,-32111610.16
뷰웍스,자본총계,13816692.0,20121709.0,34699136.0,42648902.0,48813963.26,53331284.76,61854809.73,70697727.34,84596358.3,110337066.1,126165824.3,140798963.5,161416251.7,170253745.5
뷰웍스,매출액,16725176.0,21282881.0,25553136.0,30497130.0,35629218.76,46820976.11,66501263.82,70811409.53,93438698.94,117303133.4,123460627.0,131403852.4,136009901.3,160263843.2
뷰웍스,매출총이익,9403968.0,12532217.0,12825446.0,14578601.0,16968328.27,23703986.14,31064295.44,34895527.62,42370149.0,60221823.66,62082656.06,65513647.22,71927156.22,82656579.12
뷰웍스,영업이익,5111772.0,6281671.0,6553591.0,7634831.0,7537269.1,7506155.16,12820596.1,13256807.63,18374747.78,30465390.52,28634930.18,22559420.65,26425917.87,29065623.39
뷰웍스,당기순이익,4539463.0,6176766.0,5692010.0,7349373.0,6707953.37,5664128.88,9465813.77,10479555.4,15896529.76,26979464.5,19631204.79,20771209.08,24216401.99,22893422.22
뷰웍스,이자비용,868.0,0.0,0.0,0.0,2832.0,56227.0,0.0,161238.0,21422.0,7878.0,9988.0,64445.0,67307.0,38046.0
뷰웍스,EBITDA2,5801740.0,7073321.0,7645464.0,8857922.0,8890740.1,10181085.16,15875064.1,16713352.63,22001321.78,33978168.52,32362413.18,25672708.65,29877188.87,32920773.39
에스앤에스텍,유동자산,14266525.0,22335952.0,33952483.0,25099911.0,38770754.04,44054289.51,35537284.63,25331509.53,37874434.81,31769194.42,34926369.22,41603664.45,53421966.36,93456096.94
에스앤에스텍,재고자산,2716274.0,4568106.0,4681444.0,4613799.0,7036542.86,8157344.59,6469841.63,5115428.13,8124159.65,7593004.03,8282230.8,10340977.22,14435209.16,21328511.34
에스앤에스텍,매출채권및기타채권,6752643.0,8783932.0,12117982.0,8669390.0,10864183.45,10709500.15,12120825.02,8959521.66,9860281.93,9638271.33,9478596.93,9846924.93,19629556.62,13965383.35
에스앤에스텍,당좌자산,11550250.0,17767846.0,29271038.0,20486112.0,31734211.19,35896944.92,29067443.0,20216081.41,29750275.03,24176190.4,26644138.43,31262687.42,38986757.19,72127585.6
에스앤에스텍,부채총계,27302947.0,27910824.0,30782519.0,30332222.0,65318521.84,72372175.41,75249840.52,37113851.12,30732797.47,45829794.48,42603472.36,44144939.31,46990903.6,21522470.38
에스앤에스텍,유동부채,20261095.0,12601764.0,20538286.0,18319359.0,32521648.18,42002840.05,50091906.56,18287687.84,22875631.1,24240281.24,18106092.35,28454113.32,35680207.76,15406191.45
에스앤에스텍,순부채,19128599.0,14809774.0,4149293.0,11069161.0,33403629.65,35699644.03,47193968.71,21220040.23,2651242.0,16203459.54,17400815.02,11489012.08,12492318.79,-48394644.21
에스앤에스텍,자본총계,26182102.0,29965769.0,46095018.0,50526233.0,61110894.37,59007513.0,50433485.82,47316719.89,65581321.09,75143905.24,78359801.72,79668014.44,88584280.17,164468299.7
에스앤에스텍,매출액,28199743.0,38000101.0,50564695.0,38637858.0,50210497.77,51816918.94,47029075.88,45730573.6,51210649.04,54012868.26,53899316.76,61016169.66,84466767.63,87374363.28
에스앤에스텍,매출총이익,7895393.0,10439581.0,12148786.0,11472693.0,13434274.04,9569439.16,14644213.38,15315646.76,18935520.29,15912474.99,11262399.58,14460713.85,22412236.32,23076325.98
에스앤에스텍,영업이익,3647550.0,5614215.0,6041528.0,5546197.0,4764952.26,-595219.36,7089873.47,6696712.97,10304129.62,7304858.09,2443054.94,5186245.78,11098096.64,11036484.32
에스앤에스텍,당기순이익,3499984.0,3855592.0,6686575.0,4333065.0,3388416.0,-1524172.98,-7132858.11,-4804005.9,7373238.1,8961484.84,3131677.82,4622717.85,10098863.17,10996462.17
에스앤에스텍,이자비용,1156878.0,1328859.0,1066164.0,876564.0,1517040.31,2660551.05,1380814.4,1157188.28,773156.17,566238.28,357087.85,775554.18,760192.09,370882.77
에스앤에스텍,EBITDA2,7595557.0,9969259.0,10492119.0,10742522.0,11538100.05,7918535.94,15887981.71,14231099.46,15799967.65,13413533.61,9749541.38,13707207.24,19883489.41,19686506.31
에이테크솔루션,유동자산,30784218.0,42185160.0,59669588.0,69453061.0,75142169.31,92159129.28,83026142.09,89000958.78,80447094.54,74279887.9,83062105.9,96079666.36,107491652.8,103210497.6
에이테크솔루션,재고자산,17233183.0,28777851.0,38146776.0,43773426.0,43157346.49,50962487.58,46134349.02,46243775.06,46686923.17,42179663.0,52259229.13,63168926.05,71322399.16,65308065.77
에이테크솔루션,매출채권및기타채권,12596824.0,10519188.0,15690966.0,19916878.0,27733510.0,32893012.0,31459189.0,36975405.0,28739058.0,27154809.0,25512029.0,28180065.0,31252581.0,31964950.0
에이테크솔루션,당좌자산,13551035.0,13407308.0,21522810.0,25679634.0,31984822.0,41196641.0,36891792.23,42757183.95,33760170.0,32100224.0,30802877.0,32910740.0,36169254.0,37902432.0
에이테크솔루션,부채총계,46065802.0,56926400.0,71861391.0,95606842.0,93762892.21,118591529.4,111989884.8,115352283.9,106180828.7,92423478.31,99924237.74,107951977.1,118142375.4,109604674.1
에이테크솔루션,유동부채,39076078.0,49577336.0,61065997.0,86188582.0,81651343.72,109151443.5,93647042.45,103576600.1,99476297.98,80890726.45,89378853.58,103318048.9,113185762.5,95080237.18
에이테크솔루션,순부채,15817666.0,14148362.0,15595300.0,29676164.0,42677406.65,55612637.61,54834718.47,57178382.67,49188615.92,39999093.94,43122755.48,50685043.52,53925753.95,44537880.74
에이테크솔루션,자본총계,11438489.0,20900621.0,45987802.0,64467858.0,74001587.91,69309577.33,68507033.93,68287974.32,65482349.87,66969703.87,66447633.65,67988689.46,70071671.68,71877322.74
에이테크솔루션,매출액,101931614.0,116624209.0,131664619.0,192877768.0,195329176.9,200144658.9,203827570.2,217286673.3,179934202.3,229079838.0,212932769.6,193979393.1,228200652.9,240114700.3
에이테크솔루션,매출총이익,11611241.0,16573738.0,18467772.0,29999865.0,25976156.35,11760259.37,14916925.52,21058934.05,12841846.35,22903670.8,17378682.74,18038435.92,22281641.38,23016062.55
에이테크솔루션,영업이익,4404482.0,8230700.0,10269486.0,18232844.0,12810429.95,-4756429.62,-474868.42,3005947.1,-2444847.64,2152087.84,-392513.87,972249.79,2780804.54,4032979.6
에이테크솔루션,당기순이익,4407597.0,7907058.0,9522143.0,19079200.0,11277743.0,-4151155.59,-1000281.65,606047.54,-2888951.66,1283216.95,-559271.27,581147.86,1435255.0,2808351.94
에이테크솔루션,이자비용,1253412.0,786749.0,315100.0,455899.0,1429224.0,1812880.0,1987561.0,1884169.0,1607033.0,1407041.0,1078542.0,1304240.0,1494374.0,1298158.0
에이테크솔루션,EBITDA2,7245931.0,11484190.0,13923428.0,23003448.0,20242075.95,2640954.38,9761415.58,13784815.1,9068082.36,14232377.84,11510437.13,11780061.79,12492588.54,13111738.6
엔에스브이,유동자산,13608999.0,17143554.0,30469236.0,28479096.0,35325911.01,44135256.28,32219772.08,28146736.74,15217336.46,6199435.0,,,,
엔에스브이,재고자산,7313417.0,9028512.0,13757358.0,17683054.0,20501174.55,26107711.13,18287020.42,16762756.11,8760201.11,3411971.0,,,,
엔에스브이,매출채권및기타채권,5601111.0,7279689.0,12639755.0,5332187.0,11366303.0,15098536.0,11560063.0,10563044.0,4470011.0,1591226.0,,,,
엔에스브이,당좌자산,6295583.0,8115041.0,16711878.0,10796041.0,14824737.99,18027544.9,13932751.07,11383979.29,6457134.67,2787465.0,,,,
엔에스브이,부채총계,13250594.0,15523876.0,17928677.0,24929710.0,36903492.7,36902370.63,32771133.51,33235935.43,24729265.17,20492129.0,,,,
엔에스브이,유동부채,10686609.0,13240505.0,16284785.0,16727626.0,30215696.13,33840010.52,22940736.15,22633539.2,22469693.66,18458952.0,,,,
엔에스브이,순부채,6679887.0,9257135.0,3686169.0,17401148.0,24465060.41,26860575.73,22673345.26,22553975.41,16739889.97,14500668.0,,,,
엔에스브이,자본총계,8483512.0,11004192.0,25977754.0,24300467.0,26782956.8,27120536.71,19585994.08,19068027.15,13640527.0,6055389.0,,,,
엔에스브이,매출액,25475713.0,27308702.0,37153338.0,22136424.0,30881498.68,44580014.11,49623555.39,40725913.01,27979903.87,16904406.0,,,,
엔에스브이,매출총이익,6861679.0,7929672.0,10550517.0,2984140.0,2802944.0,7091147.34,-1517190.06,2247492.72,-3239721.56,-2083006.0,,,,
엔에스브이,영업이익,3861731.0,4713297.0,6012019.0,-1731570.0,-1566578.99,2788677.44,-6404866.05,-2476537.66,-9609133.21,-8263579.0,,,,
엔에스브이,당기순이익,2595981.0,2520680.0,4405427.0,-1677287.0,-2247618.21,431934.29,-8308936.14,-4099859.6,-11597605.0,-11080893.0,,,,
엔에스브이,이자비용,460901.0,528314.0,422048.0,615117.0,1263269.0,1561123.0,1378362.0,1410234.0,1127283.0,736187.0,,,,
엔에스브이,EBITDA2,4495958.0,5485267.0,6740027.0,-723659.0,-431379.99,3992488.44,-5101702.05,-1076760.66,-8238729.21,-7133786.0,,,,
에스티오,유동자산,22519433.0,28029927.0,32626667.0,30250781.0,46858511.31,46755228.8,45272423.31,46541436.07,47764286.0,47462038.75,45168558.92,47631899.17,41106821.12,39807955.76
에스티오,재고자산,14166096.0,20983390.0,20231193.0,22638185.0,32904271.23,30938861.46,33215301.24,34297756.26,36380879.58,37545930.31,34393971.82,31261743.22,33053477.22,32297480.96
에스티오,매출채권및기타채권,3681718.0,3997529.0,5105708.0,5588013.0,6239472.0,6803751.0,6213522.0,7079740.0,7039535.0,6752738.0,6633615.0,6578731.0,6312775.0,5724250.0
에스티오,당좌자산,8353336.0,7046536.0,12395474.0,7612596.0,13954240.2,15816367.29,12057122.1,12243679.44,11383409.38,9916108.2,10774587.53,15798029.88,8028362.9,7501768.94
에스티오,부채총계,14577131.0,21846663.0,22527900.0,33055600.0,52060437.28,45853102.31,48028110.33,51375578.2,44901455.7,41601867.28,36669924.58,35609215.61,33043432.19,35636667.48
에스티오,유동부채,8374663.0,14581270.0,14603994.0,18367627.0,39924929.85,39524713.77,38341082.07,39914439.54,34750413.64,33221699.19,28078452.25,26764010.6,27045397.11,23868995.69
에스티오,순부채,-2311940.0,7086301.0,1591574.0,12399902.0,20007855.19,23321477.28,18748880.64,24531193.77,23759283.24,19856924.68,16712011.47,7260107.62,22252542.92,26067558.06
에스티오,자본총계,15145011.0,20255531.0,25665133.0,28404032.0,32605197.73,33600756.65,28291404.41,26877813.37,31136084.49,33858491.83,33661329.23,32979823.36,35125445.66,30423290.22
에스티오,매출액,52496485.0,69341599.0,74863947.0,88261521.0,99990813.04,95471691.83,86125658.46,93693229.08,101207722.9,100535861.0,90839468.08,88321594.62,85144201.98,68427471.31
에스티오,매출총이익,38505514.0,47965332.0,47969138.0,57232732.0,66960023.13,62627497.57,50355381.59,54690168.21,59926625.51,58665733.37,50954184.06,48933506.36,50598571.4,37885751.32
에스티오,영업이익,8628638.0,7727142.0,4456482.0,5270072.0,7102982.59,5243011.85,-3521202.31,1669886.38,5479416.18,5060739.27,1086781.55,536677.64,5351881.12,-1100305.69
에스티오,당기순이익,6908845.0,5119747.0,2511935.0,3243600.0,2130455.0,1660721.0,-5187158.0,-1205880.0,4453844.0,3213670.0,-135867.0,-295168.0,3273993.0,-2701845.0
에스티오,이자비용,7680.0,486956.0,543850.0,838255.0,1710059.0,2149955.0,1766474.0,1935650.0,1533413.0,1287020.97,937383.38,867094.35,1249183.71,1188016.72
에스티오,EBITDA2,9267548.0,9239420.0,6657692.0,7706025.0,10424750.59,9685431.85,198976.69,4826130.38,8258507.18,7717821.34,3643102.32,2492999.07,9111978.64,2494700.46
티플랙스,유동자산,23671971.0,24721030.0,38904591.0,48609899.0,73973575.09,68703475.74,76392440.77,61291198.36,56540051.33,61808152.19,68340219.21,67806646.59,71141568.62,68378808.08
티플랙스,재고자산,13790752.0,12031419.0,18820642.0,22929219.0,26082014.04,27334120.34,25679290.27,23163662.94,23953695.04,23621059.79,27526567.76,29342666.87,32167547.86,30657457.1
티플랙스,매출채권및기타채권,7667300.0,9043917.0,14143841.0,19386735.0,40140641.0,33981749.0,33412917.0,30736836.0,26390160.0,32075527.0,33897245.0,32790750.0,34887598.0,32224335.0
티플랙스,당좌자산,9881220.0,12689610.0,20083948.0,25680680.0,47891561.36,41369354.56,40163150.44,38127535.57,32586356.25,38187093.15,40813651.36,38463979.91,38974020.57,37721351.46
티플랙스,부채총계,19342888.0,23521290.0,28304334.0,34369377.0,63399734.74,81936589.61,89018353.04,60985184.16,55729897.99,53454172.05,52651310.12,49430278.94,53925057.9,47777993.72
티플랙스,유동부채,10687763.0,10837323.0,18504709.0,22703264.0,44889035.0,38140439.68,44304537.95,28985501.73,24146847.65,27409236.33,30027154.22,31478962.34,35700227.68,29641874.3
티플랙스,순부채,13153929.0,17343185.0,15525143.0,20915218.0,47120039.29,68310552.77,72388553.56,46388955.43,41202818.75,37174314.85,36999311.64,34988736.09,32342278.43,26990130.54
티플랙스,자본총계,16894226.0,20473002.0,30864950.0,35427654.0,46870630.0,52188982.0,52876056.0,53684871.24,67688044.96,75733998.64,82154116.16,83775195.67,98042781.66,101351301.0
티플랙스,매출액,53910822.0,58869426.0,68486358.0,104439262.0,138460771.1,121333472.4,109769137.3,102754411.1,93233988.71,100401650.6,117694298.2,121665672.9,131217032.5,132616586.0
티플랙스,매출총이익,7048761.0,7410824.0,8016158.0,9694392.0,12052005.93,8356621.96,7743411.68,9306951.62,8489480.23,8719944.72,8838241.02,8720537.55,9165412.25,9721597.37
티플랙스,영업이익,5320376.0,5461504.0,5881640.0,7076521.0,8972404.29,5157194.84,4086026.68,4447748.99,2907234.98,3771602.23,3826924.41,3511190.93,3941477.62,4782732.45
티플랙스,당기순이익,5219950.0,3565969.0,4065519.0,4265355.0,4551075.98,2491319.66,581673.86,1384659.88,1104378.74,1377881.9,2859251.08,2106447.55,2219506.09,3793887.35
티플랙스,이자비용,1068217.0,1096906.0,1213949.0,1809504.0,1720747.0,1451873.0,1350243.0,2133423.0,1628792.0,1254447.0,1055073.0,1200246.0,1184162.0,739624.0
티플랙스,EBITDA2,5632518.0,5853495.0,6567241.0,7923222.0,9960671.43,6203725.89,5234481.4,6152483.34,4578446.73,5494632.77,5623460.41,5482311.52,5776562.38,6514043.52
네프로아이티,유동자산,10178361.0,15214744.0,11907689.0,6082329.0,,,,,,,,,,
네프로아이티,재고자산,336545.0,1025852.0,1315277.0,294879.0,,,,,,,,,,
네프로아이티,매출채권및기타채권,5929189.0,11811214.0,7197257.0,1572931.0,,,,,,,,,,
네프로아이티,당좌자산,9841816.0,14188891.0,10592412.0,5787450.0,,,,,,,,,,
네프로아이티,부채총계,14481987.0,21693473.0,12228891.0,12827901.0,,,,,,,,,,
네프로아이티,유동부채,9910758.0,15373517.0,9861221.0,7342750.0,,,,,,,,,,
네프로아이티,순부채,6312495.0,16628340.0,8716105.0,9638631.0,,,,,,,,,,
네프로아이티,자본총계,7676362.0,12439985.0,15394416.0,5302892.0,,,,,,,,,,
네프로아이티,매출액,12117208.0,26207911.0,12452330.0,6467582.0,,,,,,,,,,
네프로아이티,매출총이익,8728262.0,19097868.0,8680043.0,3278447.0,,,,,,,,,,
네프로아이티,영업이익,2129896.0,4739337.0,-2215170.0,-6503503.0,,,,,,,,,,
네프로아이티,당기순이익,1519383.0,1581639.0,-3261985.0,-13964982.0,,,,,,,,,,
네프로아이티,이자비용,77319.0,340951.0,251416.0,249514.0,,,,,,,,,,
네프로아이티,EBITDA2,3701473.0,10364336.0,2629432.0,-3923237.0,,,,,,,,,,
우림피티에스,유동자산,11600563.0,22118585.0,33891986.0,42951640.0,37493597.62,27928152.64,31429131.93,32214340.82,36566418.04,36740031.46,36199717.43,38086767.31,41027000.78,41201203.16
우림피티에스,재고자산,3189878.0,5920225.0,4065445.0,6388080.0,6978162.2,7845218.3,7932044.58,8531962.26,8631645.76,9438351.28,7998664.29,10921482.63,13063999.61,16259486.1
우림피티에스,매출채권및기타채권,7282439.0,13153619.0,12059323.0,17037873.0,17395917.0,11267855.0,10281673.0,14171516.0,13488723.0,11888908.0,10710893.0,11954954.0,9246575.0,8472414.0
우림피티에스,당좌자산,8410685.0,16198360.0,29826542.0,36563560.0,30515436.2,20082933.98,23497087.07,23682379.35,27934771.84,27301680.0,28201052.71,27165284.28,22154456.26,24941717.37
우림피티에스,부채총계,12844299.0,18066864.0,12088063.0,18442771.0,23113741.52,14773212.82,16499785.7,14829051.64,11484688.42,9101358.11,10461415.81,9227300.03,11428375.65,10649039.03
우림피티에스,유동부채,9824029.0,16936316.0,9443724.0,15691493.0,18271470.0,10259733.88,13090805.15,14324930.09,10885757.01,8338070.48,9539797.77,7772862.95,9187526.88,10216888.09
우림피티에스,순부채,3476800.0,2381990.0,-14736803.0,-16613941.0,-5548679.8,-3695360.98,-7778359.89,-4087981.64,-12978858.77,-13243961.71,-9567589.22,-7682416.74,-11294006.05,-6883269.19
우림피티에스,자본총계,16482844.0,28460122.0,56071469.0,61232110.0,72847396.28,79304100.81,80365360.04,83183182.15,86727780.52,87277119.85,84868145.98,88392299.34,86780803.61,79181506.54
우림피티에스,매출액,31490654.0,53902796.0,44151015.0,50269064.0,70022261.34,52729024.42,57006664.51,60310086.18,48976408.22,45674957.88,54162141.98,64315381.74,55506684.67,60109607.9
우림피티에스,매출총이익,9607394.0,17106367.0,13304419.0,10662861.0,15196470.39,11311813.57,9828863.74,11892538.45,8076279.08,7571702.64,5572025.73,9425515.28,6997853.24,8295708.34
우림피티에스,영업이익,7717482.0,14136928.0,10015257.0,6743407.0,10129989.35,5344969.65,3111391.37,4732293.62,2041389.48,643724.0,-1833428.02,2143660.02,-1266370.84,753173.9
우림피티에스,당기순이익,6156617.0,10970404.0,8598361.0,6432923.0,9431562.0,5060119.4,1595817.0,4790691.31,4451660.59,1172549.65,-2010088.78,4223544.86,-666571.49,-7957705.96
우림피티에스,이자비용,237905.0,233263.0,223262.0,213224.0,328424.0,324034.0,307356.0,322727.0,76526.0,78071.0,52611.0,34583.0,33272.0,28562.0
우림피티에스,EBITDA2,9189917.0,15918732.0,12397605.0,10702050.0,13322415.35,9516982.65,7889729.37,9762902.62,7416491.48,5790008.0,3342874.98,7539942.02,4348345.16,5790752.9
신텍,유동자산,28952335.0,49633607.0,68284270.0,45152634.0,72939119.21,91591143.18,123564249.6,62164839.64,116212905.9,124279045.3,110699264.1,,,
신텍,재고자산,663839.0,4270154.0,3255465.0,1219974.0,1076332.79,24405905.1,6278350.19,3898403.1,4140642.91,7001610.9,9751711.16,,,
신텍,매출채권및기타채권,20758826.0,37661420.0,53102911.0,32333310.0,48096437.0,52327309.0,103243426.0,51385402.0,95536763.0,97621557.0,80557461.0,,,
신텍,당좌자산,28288496.0,45363452.0,65028804.0,43932659.0,71862785.05,67185239.98,117285900.2,58266436.71,112072263.9,117277434.1,100947553.1,,,
신텍,부채총계,24630868.0,52378469.0,60649634.0,97159561.0,138108199.5,145837266.6,178443905.7,142391686.7,162166450.9,149266807.5,161897672.6,,,
신텍,유동부채,22675934.0,46377426.0,54286862.0,78103504.0,122722165.7,75894751.25,118368733.6,127382174.6,102405787.1,112160391.0,136620753.4,,,
신텍,순부채,5643538.0,18891060.0,21453633.0,53224896.0,55593559.03,82461990.91,125678370.0,83038830.74,79766819.48,60405967.44,55062962.7,,,
신텍,자본총계,18371722.0,22310151.0,45910659.0,18225377.0,28543678.12,39348180.64,48095713.56,30226503.31,62794232.34,83130586.6,43795824.79,,,
신텍,매출액,50281730.0,83464096.0,133202090.0,101351589.0,160745674.2,117685697.8,223514390.7,127134963.6,130689892.3,160716710.9,127612387.3,,,
신텍,매출총이익,7355870.0,15721309.0,18282209.0,6144670.0,14489355.04,6821206.37,6798259.7,-9849606.78,26397131.29,25671524.22,-14828352.28,,,
신텍,영업이익,5376667.0,12297195.0,13062859.0,-1890333.0,1704708.32,-8701969.23,-5334105.67,-25287023.14,9571239.93,10149843.78,-30626822.95,,,
신텍,당기순이익,4036541.0,4045962.0,8583330.0,-4539294.0,814662.13,11006622.23,-14206742.51,-33877038.44,912912.85,2041120.91,-45801338.28,,,
신텍,이자비용,729023.0,1101234.0,1502782.0,2129212.0,3029214.0,4686851.0,7633538.0,6760797.0,6990472.0,7164471.0,6501529.0,,,
신텍,EBITDA2,5631276.0,12752538.0,13968179.0,-1021559.0,3861713.32,-6211410.23,-2201131.67,-20760073.14,14221208.93,14717864.78,-25255661.95,,,
흥국,유동자산,13894023.0,13497082.0,15147413.0,23919741.0,34252809.72,42818720.97,39634474.34,37921106.55,36351980.0,21599352.23,33800811.8,45108296.03,47838286.83,64157164.23
흥국,재고자산,6602146.0,10271318.0,4700346.0,8124761.0,9601248.66,7655315.49,7842755.13,8576477.08,8174100.33,7921498.12,11548776.76,16485532.8,15130319.01,18630431.73
흥국,매출채권및기타채권,4339485.0,2189990.0,7437210.0,13846954.0,16810496.69,10432370.0,10670255.0,9397578.0,7130522.49,11442341.97,19136991.68,17905403.8,16214913.03,25415048.85
흥국,당좌자산,7291878.0,3225766.0,10447067.0,15794981.0,24651561.07,20185034.86,16813348.27,14366258.07,13199509.57,13677854.11,22252035.05,28622763.22,32707967.82,45526732.51
흥국,부채총계,9317036.0,8752803.0,7380061.0,14914339.0,49837955.56,46917009.12,39041362.8,33202227.15,26574617.73,19760646.88,22779701.36,26678794.15,24869272.44,34526283.25
