Name,Item,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31
메디톡스,매출총이익률,72.40 ,65.70 ,75.67 ,84.63 ,86.05 ,87.46 ,90.64 ,87.60 ,90.96 ,83.99 ,81.93 ,80.91 ,73.60 ,66.23 
메디톡스,영업이익률,41.81 ,30.26 ,42.93 ,51.07 ,50.32 ,39.58 ,46.98 ,42.81 ,65.83 ,58.37 ,56.41 ,48.00 ,41.61 ,12.48 
메디톡스,ROE(지배),18.16 ,12.17 ,29.54 ,38.48 ,32.65 ,18.96 ,32.07 ,,61.33 ,43.36 ,45.36 ,41.32 ,31.50 ,10.24 
메디톡스,매출액증가율(YoY),878.15 ,44.70 ,96.89 ,69.66 ,22.68 ,2.92 ,67.08 ,,93.90 ,16.62 ,50.56 ,36.01 ,13.36 ,0.22 
메디톡스,영업이익증가율(YoY),235.17 ,4.72 ,179.33 ,101.83 ,20.89 ,-19.06 ,98.31 ,,198.15 ,3.41 ,45.51 ,15.72 ,-1.73 ,-69.95 
메디톡스,유동비율,1091.71 ,743.39 ,670.42 ,501.59 ,358.28 ,292.98 ,353.97 ,217.96 ,295.02 ,217.70 ,89.60 ,75.08 ,105.07 ,88.03 
메디톡스,당좌비율,982.33 ,586.98 ,559.39 ,471.22 ,339.41 ,284.13 ,345.45 ,206.12 ,284.24 ,205.40 ,80.61 ,66.63 ,85.66 ,66.52 
메디톡스,부채비율,13.05 ,28.14 ,18.25 ,20.91 ,26.12 ,28.73 ,27.80 ,30.86 ,106.54 ,79.37 ,119.42 ,93.84 ,53.56 ,60.47 
메디톡스,이자보상배율,156.70 ,81.53 ,87.95 ,164.39 ,87.94 ,35.32 ,98.18 ,100.91 ,472.30 ,487.92 ,81.83 ,42.17 ,45.72 ,12.34 
메디톡스,매출채권회전율,7.58 ,6.09 ,10.26 ,8.89 ,6.80 ,4.67 ,4.39 ,,6.78 ,6.00 ,6.01 ,5.34 ,4.00 ,3.46 
메디톡스,재고자산회전율,8.88 ,6.99 ,9.44 ,15.70 ,20.32 ,21.29 ,40.59 ,,27.72 ,18.41 ,20.95 ,19.61 ,12.41 ,8.10 
메디톡스,매출액,3556087.00 ,5145716.00 ,10131565.00 ,17189006.00 ,21087599.00 ,21704288.51 ,36262446.94 ,39141030.11 ,75892307.99 ,88505437.51 ,133255671.03 ,181239191.12 ,205444934.52 ,205900275.79 
메디톡스,세전계속사업이익,1307169.00 ,1598909.00 ,4749481.00 ,9130970.00 ,10915276.00 ,7873864.92 ,18134633.72 ,16797236.48 ,53861459.41 ,51962957.52 ,74997125.98 ,85247217.49 ,85099485.01 ,25149968.45 
메디톡스,당기순이익(지배),1307169.00 ,1500498.00 ,4824312.00 ,8813717.00 ,10390783.00 ,7371928.20 ,15436738.47 ,14303535.94 ,43627867.92 ,42292784.53 ,59231019.52 ,70106132.64 ,69963675.93 ,26205603.00 
메디톡스,자본총계(지배),10856017.00 ,13813309.00 ,18852726.00 ,26960746.00 ,36697591.00 ,41081079.20 ,55190761.11 ,60684999.17 ,81589637.51 ,113482969.47 ,147678619.25 ,191653545.09 ,252587221.51 ,259147914.03 
메디톡스,EBITDA2,1779304.00 ,2195776.00 ,5743254.00 ,9820333.00 ,12359309.00 ,10148324.62 ,18794012.72 ,18626582.22 ,52815555.20 ,55507384.62 ,79921106.64 ,95233371.56 ,101532681.37 ,43829526.46 
메디톡스,순부채,-4245424.00 ,-552921.00 ,-2575001.00 ,-8889150.00 ,-11892291.00 ,-12278308.51 ,-18073770.98 ,-9531179.70 ,-75638823.80 ,-51845800.95 ,72172346.00 ,80865605.49 ,58433360.26 ,78920935.12 
유비쿼스홀딩스,매출총이익률,52.91 ,48.35 ,41.95 ,42.34 ,48.24 ,44.26 ,41.09 ,43.43 ,45.58 ,39.51 ,79.82 ,85.27 ,43.08 ,33.73 
유비쿼스홀딩스,영업이익률,27.84 ,26.28 ,22.07 ,19.44 ,21.14 ,18.27 ,16.40 ,17.42 ,17.85 ,18.18 ,32.39 ,20.15 ,20.21 ,12.17 
유비쿼스홀딩스,ROE(지배),46.28 ,40.40 ,21.40 ,31.45 ,18.31 ,,11.27 ,13.98 ,12.67 ,15.39 ,11.33 ,51.78 ,5.12 ,3.53 
유비쿼스홀딩스,매출액증가율(YoY),24.73 ,28.89 ,-1.91 ,66.51 ,-26.63 ,,1.58 ,58.18 ,1.27 ,35.44 ,-95.28 ,1.48 ,1009.24 ,30.42 
유비쿼스홀딩스,영업이익증가율(YoY),45.45 ,21.69 ,-17.64 ,46.66 ,-20.20 ,,-8.79 ,68.01 ,3.75 ,37.93 ,-91.59 ,-36.87 ,1012.31 ,-21.43 
유비쿼스홀딩스,유동비율,453.86 ,472.90 ,469.46 ,346.95 ,652.27 ,554.32 ,393.49 ,371.04 ,288.60 ,350.49 ,657.21 ,2614.90 ,623.93 ,569.00 
유비쿼스홀딩스,당좌비율,418.18 ,435.93 ,402.29 ,325.21 ,615.70 ,507.25 ,364.69 ,323.64 ,230.53 ,319.04 ,613.74 ,2614.90 ,466.22 ,398.76 
유비쿼스홀딩스,부채비율,25.59 ,25.03 ,22.06 ,37.31 ,18.20 ,17.39 ,17.79 ,17.69 ,25.36 ,27.20 ,14.86 ,3.42 ,13.56 ,15.70 
유비쿼스홀딩스,이자보상배율,2460.93 ,,684.90 ,62.50 ,68.85 ,205.45 ,125.10 ,162.21 ,365.77 ,713.74 ,,,,2062.06 
유비쿼스홀딩스,매출채권회전율,5.41 ,7.45 ,8.19 ,7.34 ,5.28 ,,8.05 ,8.29 ,4.44 ,5.44 ,0.38 ,0.90 ,11.65 ,8.60 
유비쿼스홀딩스,재고자산회전율,19.81 ,16.23 ,10.01 ,14.41 ,12.35 ,,9.82 ,13.76 ,8.08 ,9.53 ,0.60 ,1.47 ,9.85 ,6.05 
유비쿼스홀딩스,매출액,52913496.00 ,68201559.00 ,66898241.00 ,111394380.00 ,81727539.00 ,73659400.40 ,74822725.07 ,118352627.79 ,119854277.76 ,162330626.11 ,7659930.00 ,7773041.81 ,86222033.77 ,112451243.00 
유비쿼스홀딩스,세전계속사업이익,15503470.00 ,19589500.00 ,14454581.00 ,30442972.00 ,23738582.00 ,19049851.28 ,18945848.92 ,25513492.11 ,26052271.07 ,36314369.39 ,6234905.79 ,11111677.99 ,18976309.92 ,16705351.03 
유비쿼스홀딩스,당기순이익(지배),14009645.00 ,18463729.00 ,13010953.00 ,26313586.00 ,20278795.00 ,16035728.68 ,15106800.91 ,21022186.03 ,21465875.93 ,29510236.15 ,23925421.75 ,96694231.56 ,8999789.35 ,7000106.49 
유비쿼스홀딩스,자본총계(지배),36474439.00 ,54938168.00 ,66682949.00 ,100632774.00 ,120922602.00 ,127070475.14 ,141057768.96 ,159786965.34 ,179095386.44 ,204418630.49 ,217752497.08 ,155739636.71 ,195951509.23 ,200340869.78 
유비쿼스홀딩스,EBITDA2,15519613.00 ,18749605.00 ,15758667.00 ,22805111.00 ,18311026.00 ,14549266.65 ,13451584.69 ,22393671.79 ,24364925.16 ,32461079.85 ,5630490.58 ,3097591.64 ,19921128.21 ,16516497.21 
유비쿼스홀딩스,순부채,-27575600.00 ,-49497675.00 ,-36995116.00 ,-67612841.00 ,-85688462.00 ,-79482145.03 ,-52213098.35 ,-48429577.43 ,-47587901.32 ,-118325993.97 ,-125977626.44 ,-84683394.81 ,-135291002.56 ,-156265107.53 
대성파인텍,매출총이익률,19.06 ,18.69 ,15.09 ,18.75 ,15.81 ,22.98 ,18.95 ,20.80 ,17.43 ,20.55 ,18.28 ,20.27 ,15.60 ,12.65 
대성파인텍,영업이익률,12.28 ,13.18 ,9.83 ,11.77 ,9.88 ,15.81 ,13.01 ,13.37 ,10.40 ,12.08 ,10.29 ,7.98 ,1.96 ,0.83 
대성파인텍,ROE(지배),4.04 ,18.51 ,13.07 ,13.13 ,12.48 ,,15.20 ,11.54 ,10.98 ,11.81 ,10.17 ,4.75 ,5.93 ,2.33 
대성파인텍,매출액증가율(YoY),13.51 ,13.90 ,4.07 ,-13.02 ,59.55 ,,8.01 ,1.40 ,9.31 ,13.88 ,7.70 ,-10.78 ,-9.29 ,-2.91 
대성파인텍,영업이익증가율(YoY),7.08 ,22.29 ,-22.43 ,4.12 ,33.91 ,,-11.13 ,4.18 ,-14.92 ,32.22 ,-8.24 ,-30.84 ,-77.67 ,-58.85 
대성파인텍,유동비율,210.74 ,227.45 ,268.56 ,172.13 ,185.59 ,155.06 ,189.54 ,218.37 ,153.30 ,187.68 ,184.52 ,146.16 ,140.69 ,127.49 
대성파인텍,당좌비율,173.32 ,200.78 ,237.61 ,134.04 ,155.02 ,123.49 ,155.79 ,184.27 ,116.98 ,151.22 ,156.43 ,116.90 ,96.35 ,98.72 
대성파인텍,부채비율,108.62 ,87.45 ,73.27 ,77.06 ,76.37 ,82.26 ,49.19 ,45.16 ,63.81 ,62.87 ,61.72 ,79.36 ,78.69 ,72.92 
대성파인텍,이자보상배율,5.66 ,6.64 ,5.16 ,7.00 ,7.28 ,13.99 ,16.88 ,40.85 ,19.72 ,18.82 ,8.21 ,5.97 ,0.87 ,0.32 
대성파인텍,매출채권회전율,4.53 ,3.65 ,3.25 ,2.56 ,3.05 ,,3.23 ,3.06 ,3.35 ,3.47 ,3.48 ,3.26 ,3.41 ,3.73 
대성파인텍,재고자산회전율,7.69 ,11.09 ,12.94 ,6.83 ,7.81 ,,7.91 ,8.83 ,7.42 ,6.79 ,7.98 ,7.19 ,5.49 ,5.47 
대성파인텍,매출액,13958341.00 ,15898770.00 ,16545166.00 ,14390396.00 ,22959455.00 ,32471054.15 ,35070320.35 ,35560821.66 ,38872598.42 ,44267460.21 ,47677368.63 ,42539088.48 ,38587676.00 ,37466323.48 
대성파인텍,세전계속사업이익,719216.00 ,2332162.00 ,1930882.00 ,1662762.00 ,2548052.00 ,4498880.09 ,4583537.90 ,4849536.70 ,3902877.80 ,4942295.71 ,4808754.09 ,2815862.01 ,3173649.00 ,36457.74 
대성파인텍,당기순이익(지배),372672.00 ,1941499.00 ,1596126.00 ,1909010.00 ,2142718.00 ,3784979.00 ,3673148.38 ,3158885.62 ,3324371.80 ,4020930.72 ,3964688.22 ,2150486.08 ,2972839.00 ,1218981.72 
대성파인텍,자본총계(지배),9435489.00 ,11538961.00 ,12885664.00 ,16186204.00 ,18142450.00 ,22207274.33 ,26115764.55 ,28636784.52 ,31910196.59 ,36192553.43 ,41800068.93 ,48730259.90 ,51608180.00 ,52984716.64 
대성파인텍,EBITDA2,3367688.00 ,3363991.00 ,2629308.00 ,2833589.00 ,4085168.00 ,6760288.38 ,6136248.28 ,6199102.77 ,5818434.82 ,7091952.81 ,6734038.58 ,5351802.14 ,2685999.00 ,2925769.97 
대성파인텍,순부채,2834983.00 ,2483634.00 ,1145334.00 ,5745514.00 ,2973578.00 ,5752079.00 ,1177575.69 ,-3196398.08 ,5297430.43 ,2705082.69 ,3287399.92 ,17361873.05 ,20939550.00 ,20496737.43 
이수앱지스,매출총이익률,27.91 ,53.43 ,38.14 ,37.60 ,47.54 ,50.96 ,43.22 ,58.78 ,56.23 ,53.06 ,61.07 ,52.41 ,45.43 ,35.74 
이수앱지스,영업이익률,-231.96 ,-170.86 ,-117.09 ,-193.61 ,-157.61 ,-119.26 ,-114.67 ,-77.40 ,-89.33 ,-44.39 ,-16.38 ,-41.36 ,-75.08 ,-75.31 
이수앱지스,ROE(지배),-67.84 ,-37.02 ,-62.83 ,-33.55 ,-23.21 ,-31.49 ,-42.06 ,-44.70 ,-56.43 ,-30.54 ,-9.72 ,-16.58 ,-21.33 ,-31.01 
이수앱지스,매출액증가율(YoY),44.54 ,25.54 ,81.12 ,-10.50 ,34.57 ,9.19 ,8.91 ,46.24 ,-13.07 ,61.63 ,66.11 ,2.12 ,-13.94 ,25.52 
이수앱지스,영업이익증가율(YoY),-1.05 ,7.53 ,-24.13 ,-47.98 ,-9.55 ,17.38 ,-4.72 ,1.29 ,-0.33 ,19.68 ,38.71 ,-157.87 ,-56.24 ,-25.90 
이수앱지스,유동비율,866.55 ,1012.28 ,121.07 ,910.92 ,1305.09 ,663.46 ,1726.82 ,302.11 ,164.75 ,283.65 ,410.79 ,505.99 ,664.85 ,1165.76 
이수앱지스,당좌비율,795.70 ,859.09 ,80.31 ,851.39 ,1142.03 ,551.78 ,1504.06 ,248.86 ,95.36 ,207.51 ,248.55 ,349.14 ,346.71 ,794.47 
이수앱지스,부채비율,73.31 ,45.09 ,145.19 ,30.66 ,38.72 ,28.43 ,132.98 ,146.29 ,181.44 ,50.26 ,32.96 ,25.33 ,16.92 ,68.10 
이수앱지스,이자보상배율,-59.25 ,-41.92 ,-25.67 ,-36.08 ,-80.22 ,-185.26 ,-6.49 ,-2.78 ,-2.13 ,-2.28 ,-3.31 ,-11.38 ,-24.54 ,-7.64 
이수앱지스,매출채권회전율,6.58 ,5.97 ,5.39 ,3.88 ,4.50 ,3.72 ,3.90 ,4.73 ,3.42 ,4.72 ,6.59 ,6.04 ,4.39 ,3.80 
이수앱지스,재고자산회전율,4.36 ,2.09 ,2.26 ,1.73 ,1.85 ,2.08 ,2.61 ,1.98 ,0.80 ,0.94 ,1.44 ,1.28 ,0.94 ,1.10 
이수앱지스,매출액,1714288.00 ,2152135.00 ,3898012.00 ,3488612.00 ,4694763.00 ,5126369.00 ,5582995.69 ,8164305.95 ,7097097.81 ,11470882.00 ,19054716.99 ,19458889.86 ,16745736.36 ,21019125.54 
이수앱지스,세전계속사업이익,-4502823.00 ,-3728076.00 ,-6327208.00 ,-7130323.00 ,-6595936.00 ,-5853568.00 ,-6374683.00 ,-8190513.43 ,-11197539.19 ,-9773362.00 ,-4367053.00 ,-8729137.58 ,-12988973.06 ,-17816396.43 
이수앱지스,당기순이익(지배),-4502823.00 ,-3728076.00 ,-6327208.00 ,-7130323.00 ,-6595936.00 ,-5853568.00 ,-6374683.00 ,-8190513.43 ,-11197539.19 ,-9773362.00 ,-4367053.00 ,-8729137.58 ,-12988973.06 ,-17816396.43 
이수앱지스,자본총계(지배),6912553.00 ,13230273.00 ,6911688.00 ,35599973.00 ,21232536.00 ,15950590.20 ,14362274.32 ,22281245.48 ,17408021.75 ,46589296.00 ,43251664.00 ,62051710.39 ,59734334.97 ,55182838.02 
이수앱지스,EBITDA2,-3751843.00 ,-3225861.00 ,-4013627.00 ,-6093629.00 ,-6508371.00 ,-4880983.56 ,-5104393.87 ,-4025635.02 ,-4069062.17 ,-2848748.00 ,-420383.74 ,-5241241.13 ,-9290605.21 ,-11830266.43 
이수앱지스,순부채,-3056436.00 ,-5917842.00 ,2157653.00 ,-26676485.00 ,-17939944.00 ,-7915261.04 ,2397326.85 ,5889916.54 ,17126742.31 ,-11378283.00 ,-6506918.36 ,-22140843.36 ,-11321816.80 ,-6910048.72 
파인테크닉스,매출총이익률,,,,10.78 ,26.57 ,17.55 ,20.40 ,12.71 ,16.94 ,21.25 ,13.79 ,2.95 ,19.70 ,13.37 
파인테크닉스,영업이익률,,,,-19.10 ,5.92 ,3.49 ,6.17 ,-3.40 ,4.95 ,4.65 ,0.29 ,-15.38 ,-14.49 ,6.30 
파인테크닉스,ROE(지배),,,,,19.85 ,16.25 ,11.98 ,-29.63 ,20.80 ,6.49 ,1.21 ,-49.64 ,-40.49 ,0.59 
파인테크닉스,매출액증가율(YoY),,,,,108.38 ,23.38 ,32.42 ,-26.88 ,16.20 ,-54.45 ,30.03 ,-19.11 ,-25.89 ,-1.41 
파인테크닉스,영업이익증가율(YoY),,,,,164.59 ,40.70 ,134.17 ,-140.26 ,269.05 ,-57.17 ,-91.90 ,-4394.68 ,30.19 ,142.87 
파인테크닉스,유동비율,,,,82.86 ,94.24 ,86.78 ,81.46 ,72.65 ,80.58 ,84.67 ,130.72 ,84.16 ,78.89 ,102.77 
파인테크닉스,당좌비율,,,,63.21 ,71.75 ,73.07 ,70.78 ,60.93 ,66.01 ,67.82 ,64.70 ,67.49 ,55.17 ,68.86 
파인테크닉스,부채비율,,,,157.42 ,109.06 ,220.61 ,242.92 ,262.13 ,172.69 ,159.23 ,92.17 ,134.32 ,121.63 ,71.00 
파인테크닉스,이자보상배율,,,,-3.55 ,1.61 ,4.13 ,4.11 ,-1.68 ,2.81 ,3.26 ,0.23 ,-7.63 ,-6.75 ,4.49 
파인테크닉스,매출채권회전율,,,,,5.29 ,4.72 ,5.19 ,4.27 ,4.84 ,2.19 ,4.26 ,5.10 ,4.27 ,6.91 
파인테크닉스,재고자산회전율,,,,,7.90 ,14.45 ,16.86 ,12.89 ,13.77 ,5.52 ,5.66 ,5.75 ,7.54 ,7.29 
파인테크닉스,매출액,,,,27600890.00 ,57514664.00 ,324634349.55 ,429894779.32 ,314348642.00 ,365261308.00 ,166371477.00 ,216325021.00 ,174995498.00 ,129688347.83 ,127864368.11 
파인테크닉스,세전계속사업이익,,,,-3860808.00 ,2470661.00 ,24488015.33 ,17448668.52 ,-24397240.00 ,11563722.00 ,5041079.00 ,-2469068.00 ,-43025047.00 ,-21675946.52 ,709933.19 
파인테크닉스,당기순이익(지배),,,,-6545557.00 ,6958587.00 ,7564761.99 ,7019738.00 ,-17770537.00 ,15411050.00 ,6150948.00 ,1217846.00 ,-41069897.00 ,-21950124.56 ,303795.62 
파인테크닉스,자본총계(지배),,,,31409585.00 ,38704611.00 ,54377195.30 ,62811079.58 ,57133170.00 ,91060997.00 ,98427849.00 ,103447145.00 ,62012430.00 ,46403672.35 ,56851407.04 
파인테크닉스,EBITDA2,,,,-2958816.00 ,5664378.00 ,28127479.02 ,51162337.89 ,12822419.00 ,41849607.00 ,29752895.00 ,17984531.00 ,-16946305.00 ,-9628260.00 ,18818276.00 
파인테크닉스,순부채,,,,31816316.00 ,26206524.00 ,64369110.71 ,89181050.42 ,122749097.00 ,102867912.00 ,99435983.00 ,52047742.00 ,50979495.00 ,26040989.56 ,17451799.36 
중국식품포장,매출총이익률,14.21 ,15.99 ,18.26 ,17.09 ,14.76 ,11.72 ,14.32 ,,,,,,,
중국식품포장,영업이익률,10.08 ,11.28 ,12.99 ,10.19 ,8.88 ,5.87 ,9.42 ,,,,,,,
중국식품포장,ROE(지배),0.00 ,40.84 ,39.36 ,25.65 ,23.46 ,11.90 ,23.94 ,,,,,,,
중국식품포장,매출액증가율(YoY),1509.29 ,3.39 ,92.83 ,4.84 ,59.18 ,47.86 ,54.39 ,,,,,,,
중국식품포장,영업이익증가율(YoY),2356.57 ,15.68 ,122.09 ,-17.76 ,38.61 ,-2.14 ,147.63 ,,,,,,,
중국식품포장,유동비율,137.26 ,179.05 ,228.67 ,106.27 ,107.75 ,80.60 ,79.63 ,,,,,,,
중국식품포장,당좌비율,97.16 ,119.33 ,184.23 ,70.77 ,81.00 ,53.52 ,59.68 ,,,,,,,
중국식품포장,부채비율,82.63 ,65.06 ,49.89 ,100.30 ,140.79 ,192.55 ,208.96 ,,,,,,,
중국식품포장,이자보상배율,302.45 ,,,,7.35 ,2.70 ,4.44 ,,,,,,,
중국식품포장,매출채권회전율,13.40 ,8.45 ,7.48 ,6.63 ,32.24 ,,,,,,,,,
중국식품포장,재고자산회전율,22.02 ,10.10 ,12.88 ,8.23 ,9.35 ,9.90 ,12.26 ,,,,,,,
중국식품포장,매출액,36996199.00 ,38250592.00 ,73757291.00 ,77329595.00 ,123089373.00 ,181997167.00 ,280989606.00 ,,,,,,,
중국식품포장,세전계속사업이익,3850611.00 ,4544146.00 ,9841235.00 ,9753754.00 ,11122193.00 ,8873944.00 ,25473437.00 ,,,,,,,
중국식품포장,당기순이익(지배),,4262983.00 ,8469764.00 ,8380733.00 ,9140399.00 ,5819769.00 ,14600529.00 ,,,,,,,
중국식품포장,자본총계(지배),9395033.00 ,11482277.00 ,31560970.00 ,33796628.00 ,44121758.00 ,53693170.00 ,68285709.00 ,,,,,,,
중국식품포장,EBITDA2,3997330.00 ,4772272.00 ,10322701.00 ,9093261.00 ,13166029.00 ,14340677.00 ,31949035.00 ,,,,,,,
중국식품포장,순부채,-1133994.00 ,-1562943.00 ,-6242130.00 ,4772665.00 ,12032531.00 ,51513454.00 ,61070088.00 ,,,,,,,
엔시트론,매출총이익률,42.39 ,25.71 ,26.88 ,22.19 ,26.91 ,29.36 ,25.10 ,15.22 ,14.76 ,13.94 ,22.38 ,15.11 ,1.30 ,16.13 
엔시트론,영업이익률,0.60 ,12.77 ,13.99 ,9.05 ,6.10 ,7.28 ,0.39 ,-21.63 ,-7.15 ,-6.03 ,0.01 ,-22.15 ,-65.14 ,-53.20 
엔시트론,ROE(지배),,49.25 ,36.84 ,34.59 ,14.98 ,,2.80 ,-57.06 ,-30.07 ,-65.95 ,-10.67 ,-62.43 ,-164.72 ,-90.47 
엔시트론,매출액증가율(YoY),,378.89 ,59.97 ,42.59 ,-12.78 ,,3.59 ,-18.84 ,57.71 ,-10.53 ,-26.04 ,-37.18 ,-38.02 ,-32.78 
엔시트론,영업이익증가율(YoY),,10138.19 ,75.27 ,-7.77 ,-41.16 ,,-94.46 ,-4604.86 ,47.87 ,24.49 ,100.09 ,-190325.27 ,-82.27 ,45.10 
엔시트론,유동비율,224.70 ,189.23 ,139.73 ,240.00 ,143.55 ,183.97 ,129.42 ,85.77 ,87.70 ,93.98 ,128.31 ,145.63 ,124.62 ,98.24 
엔시트론,당좌비율,106.53 ,130.56 ,94.43 ,209.44 ,99.60 ,138.69 ,87.91 ,57.73 ,51.49 ,45.70 ,83.70 ,96.11 ,91.55 ,70.75 
엔시트론,부채비율,61.16 ,75.86 ,81.62 ,88.35 ,84.61 ,71.38 ,71.45 ,166.67 ,282.23 ,163.59 ,182.94 ,153.80 ,243.22 ,94.04 
엔시트론,이자보상배율,0.48 ,32.72 ,20.35 ,12.97 ,4.20 ,10.76 ,0.49 ,-17.06 ,-5.16 ,-3.00 ,0.00 ,-3.72 ,-4.50 ,-2.55 
엔시트론,매출채권회전율,,26.42 ,30.03 ,29.63 ,15.72 ,,20.68 ,16.51 ,15.98 ,12.24 ,7.17 ,4.84 ,5.66 ,5.05 
엔시트론,재고자산회전율,,10.42 ,12.59 ,17.60 ,10.15 ,,8.68 ,6.84 ,7.95 ,5.65 ,5.03 ,3.82 ,3.31 ,3.96 
엔시트론,매출액,4685843.00 ,22440075.00 ,35898308.00 ,51185773.00 ,44643093.00 ,47626709.10 ,49337989.17 ,40043605.36 ,63153576.32 ,56500755.15 ,41788368.80 ,26252728.72 ,16271101.69 ,10936916.98 
엔시트론,세전계속사업이익,112411.00 ,1682215.00 ,3372967.00 ,5023759.00 ,2108229.00 ,2016202.61 ,88277.66 ,-12300137.44 ,-4341596.02 ,-5623383.22 ,-1206148.00 ,-7407899.79 ,-17876259.93 ,-10122683.23 
엔시트론,당기순이익(지배),112411.00 ,2608256.00 ,2979746.00 ,4499680.00 ,2558286.00 ,2318080.00 ,701582.00 ,-11235988.00 ,-3676129.58 ,-7521390.00 ,-1314761.00 ,-8732611.22 ,-17749868.26 ,-9706880.05 
엔시트론,자본총계(지배),3929335.00 ,6661795.00 ,9514547.00 ,16499734.00 ,17651129.00 ,24781403.43 ,25325213.57 ,14055566.00 ,10391699.45 ,12417430.96 ,12225466.40 ,15749322.49 ,5802595.82 ,15656750.28 
엔시트론,EBITDA2,447201.00 ,3386693.00 ,5836332.00 ,5926332.00 ,4393397.00 ,5860307.57 ,3206375.49 ,-3723611.07 ,-972206.57 ,162.31 ,2709481.94 ,-3253107.65 ,-8343660.40 ,-3718677.45 
엔시트론,순부채,456080.00 ,145310.00 ,2515595.00 ,-1637459.00 ,5357318.00 ,3175762.67 ,4862497.32 ,11942747.60 ,12726639.14 ,10554859.40 ,15407690.90 ,20059910.87 ,17638808.31 ,13394869.98 
코오롱생명과학,매출총이익률,18.26 ,21.13 ,26.50 ,29.93 ,25.46 ,28.72 ,32.49 ,31.06 ,25.33 ,21.37 ,30.70 ,24.26 ,8.09 ,17.21 
코오롱생명과학,영업이익률,7.73 ,7.24 ,11.63 ,14.94 ,9.37 ,10.74 ,15.79 ,13.14 ,7.19 ,1.80 ,11.66 ,-4.70 ,-26.05 ,-17.87 
