,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.06832961738109589,0.07823996245861053,0.08753140270709991,0.07104966789484024,0.05435223877429962,0.06898310035467148,0.049769122153520584,0.05982021614909172,0.06329810619354248,0.052209995687007904,0.08015124499797821,0.0753382071852684,0.08765255659818649,0.08460745960474014,0.08830676227807999,0.06099165976047516,0.06058404967188835,0.0640852078795433,0.07641556113958359,0.06445702910423279,0.08313605934381485,0.0790809839963913,0.06065043434500694,0.06917376816272736,0.07824832201004028,0.07125449180603027,0.051778361201286316,0.04534781351685524,0.047897785902023315,0.0363132506608963,0.03935717046260834,0.03565628081560135
유동비율,0.06971531361341476,0.06829357147216797,0.06850891560316086,0.08919224143028259,0.05642619729042053,0.09819084405899048,0.0673837959766388,0.06664936244487762,0.05984564125537872,0.07116420567035675,0.07312004268169403,0.07284244149923325,0.08390720188617706,0.10894055664539337,0.09271751344203949,0.0506974421441555,0.03979014232754707,0.05784475803375244,0.05421263352036476,0.06415759027004242,0.06809160858392715,0.06178939342498779,0.06509248912334442,0.04534432291984558,0.04754872992634773,0.04388786479830742,0.041340697556734085,0.06350740045309067,0.06956333667039871,0.06906859576702118,0.07068296521902084,0.050798188894987106
부채비율,0.10167653858661652,0.10184063762426376,0.08389291167259216,0.08748295158147812,0.09598320722579956,0.08655349910259247,0.10047193616628647,0.04351110756397247,0.0651760846376419,0.07110416144132614,0.060682281851768494,0.09078150242567062,0.059299591928720474,0.08756168931722641,0.06237107887864113,0.052744973450899124,0.048077598214149475,0.06479106098413467,0.08755788207054138,0.05910949409008026,0.07916619628667831,0.08564743399620056,0.05907239764928818,0.08959372341632843,0.06157572194933891,0.06678063422441483,0.05452234670519829,0.04125446081161499,0.046806663274765015,0.04832577332854271,0.06308626383543015,0.066399946808815
매출액증가율,0.0562526173889637,0.05170608311891556,0.05716163292527199,0.06306042522192001,0.05533550679683685,0.07443663477897644,0.07964669913053513,0.06274819374084473,0.05616050958633423,0.044121090322732925,0.0671863928437233,0.05384667217731476,0.041303135454654694,0.037754837423563004,0.04316924139857292,0.039664097130298615,0.04279589280486107,0.04952438175678253,0.03650020807981491,0.036690980195999146,0.050202175974845886,0.060037124902009964,0.05861474201083183,0.054629549384117126,0.06050318107008934,0.062211375683546066,0.0733734741806984,0.06555576622486115,0.062033314257860184,0.0683460533618927,0.06553340703248978,0.06653353571891785
1개월 후 PER,0.07175125926733017,0.04759997874498367,0.06904202699661255,0.05469535291194916,0.06422512233257294,0.005076685920357704,0.08147119730710983,0.06548593193292618,0.07408123463392258,0.05637974292039871,0.06605279445648193,0.06070385128259659,0.06807680428028107,0.07424172759056091,0.09303724765777588,0.07181423157453537,0.08445122838020325,0.07770109921693802,0.06646447628736496,0.07239414006471634,0.053460586816072464,0.0584309920668602,0.04172695428133011,0.06775511056184769,0.07664807885885239,0.056135717779397964,0.05862462520599365,0.06263202428817749,0.06765502691268921,0.07196632772684097,0.06989645212888718,0.10110227018594742
1개월 후 PBR,0.06664136797189713,0.05093269422650337,0.06413360685110092,0.06717292219400406,0.0602957047522068,0.044862642884254456,0.05586681887507439,0.09325681626796722,0.09388642013072968,0.104523666203022,0.09106720983982086,0.09867458045482635,0.09132317453622818,0.07918380200862885,0.11002941429615021,0.08943912386894226,0.0940227136015892,0.10844483226537704,0.10449136048555374,0.11616376042366028,0.10460634529590607,0.10290606319904327,0.13222840428352356,0.08379538357257843,0.09580475836992264,0.10547268390655518,0.09408537298440933,0.08723591268062592,0.06321119517087936,0.06986388564109802,0.08252699673175812,0.05545869469642639
1개월 후 EV/EBITDA,0.059175536036491394,0.044196389615535736,0.04542248323559761,0.08453191816806793,0.08886998891830444,0.09832462668418884,0.02832741290330887,0.0419306680560112,0.06512600928544998,0.10214635729789734,0.0377219021320343,0.03086581639945507,0.03691814839839935,0.03760361671447754,0.022924495860934258,0.0202869214117527,0.027103818953037262,0.037725262343883514,0.06009192019701004,0.05746542662382126,0.049482908099889755,0.05945049226284027,0.03746926784515381,0.12103386223316193,0.0952271893620491,0.09578186273574829,0.12175590544939041,0.07850341498851776,0.07546994835138321,0.08687762916088104,0.09780161082744598,0.060695547610521317
1개월 평균 거래량회전율,0.045432329177856445,0.05232403427362442,0.06269664317369461,0.06488387286663055,0.05324609950184822,0.06600882858037949,0.0487862266600132,0.045702531933784485,0.06855543702840805,0.05665106326341629,0.056502506136894226,0.06673066318035126,0.06291688978672028,0.054125480353832245,0.034923672676086426,0.07290647178888321,0.05262509733438492,0.0483742393553257,0.05027571693062782,0.057904843240976334,0.0643562451004982,0.06453975290060043,0.06505901366472244,0.03952772170305252,0.05208722501993179,0.048873838037252426,0.05769576504826546,0.0640590488910675,0.05100306496024132,0.055376045405864716,0.062148287892341614,0.06699937582015991
1개월 평균 일중변동률,0.07356192916631699,0.040316879749298096,0.052701883018016815,0.06754875183105469,0.07307131588459015,0.08944256603717804,0.1009269580245018,0.0778583213686943,0.07414200901985168,0.09046493470668793,0.07378681004047394,0.07311809808015823,0.08215061575174332,0.08527891337871552,0.087500661611557,0.08543653786182404,0.07805319130420685,0.0692334994673729,0.0745982751250267,0.07198503613471985,0.08109672367572784,0.07381884008646011,0.06387535482645035,0.06757822632789612,0.07969745993614197,0.08455180376768112,0.08213396370410919,0.07546129077672958,0.06818836182355881,0.0667550191283226,0.07835138589143753,0.07586471736431122
1개월 시가총액회전율,0.08745776861906052,0.10822737962007523,0.09714117646217346,0.0472947433590889,0.07180408388376236,0.038440313190221786,0.05203917622566223,0.0746430978178978,0.03354673087596893,0.04409773275256157,0.06522836536169052,0.09386199712753296,0.05042868107557297,0.049249786883592606,0.031700532883405685,0.13260333240032196,0.13706308603286743,0.10916832834482193,0.0678701251745224,0.0929766371846199,0.019241930916905403,0.018207821995019913,0.07482994347810745,0.07888096570968628,0.09725426882505417,0.06982103735208511,0.06923411041498184,0.13613717257976532,0.056075021624565125,0.06838469952344894,0.06308776885271072,0.041845280677080154
