,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.07709776610136032,0.07621655613183975,0.0740693211555481,0.0952385663986206,0.09407006204128265,0.09011519700288773,0.08390164375305176,0.05483917519450188,0.07069480419158936,0.05430041253566742,0.0707634761929512,0.08918222039937973,0.06750351935625076,0.06949988752603531,0.06813334673643112,0.06861701607704163,0.06396563351154327,0.06986759603023529,0.0809086263179779,0.07639773935079575,0.07852641493082047,0.0818329006433487,0.08372793346643448,0.08816879987716675,0.08893845975399017,0.08637861162424088,0.09163915365934372,0.06815537065267563,0.06794402748346329,0.07715096324682236,0.07520817220211029,0.06749429553747177
유동비율,0.07758685946464539,0.059479791671037674,0.08162126690149307,0.057710129767656326,0.07081249356269836,0.09193791449069977,0.06218291074037552,0.0944880023598671,0.08109007030725479,0.09973588585853577,0.05615783855319023,0.060969702899456024,0.0654117539525032,0.06626154482364655,0.05613839998841286,0.09935185313224792,0.11250095814466476,0.10630207508802414,0.10399698466062546,0.09609483182430267,0.11305579543113708,0.11690223217010498,0.12085973471403122,0.13427463173866272,0.13855421543121338,0.10789137333631516,0.10539087653160095,0.11273135244846344,0.12709052860736847,0.10720620304346085,0.1126844584941864,0.09554827958345413
부채비율,0.08813528716564178,0.09313248097896576,0.09216155856847763,0.1119418740272522,0.08961408585309982,0.08167805522680283,0.06988835334777832,0.082567498087883,0.09759741276502609,0.08284085243940353,0.08816749602556229,0.07416044175624847,0.0831121951341629,0.06975941359996796,0.10140866041183472,0.1138344407081604,0.11569727212190628,0.11306645721197128,0.07223786413669586,0.03874615952372551,0.051715146750211716,0.06318940222263336,0.046701669692993164,0.07447971403598785,0.06608255952596664,0.09822355210781097,0.06310084462165833,0.08642172068357468,0.06505711376667023,0.07524123787879944,0.07320431619882584,0.07610857486724854
매출액증가율,0.08418489992618561,0.1105172410607338,0.09684353321790695,0.08503849059343338,0.07174957543611526,0.06146559864282608,0.07916266471147537,0.0638851672410965,0.049826182425022125,0.05377335473895073,0.07744275778532028,0.05651800334453583,0.06594284623861313,0.06901330500841141,0.07517426460981369,0.07132777571678162,0.06821722537279129,0.10253939032554626,0.09234271943569183,0.07379454374313354,0.07068666815757751,0.067569799721241,0.08739440888166428,0.10675306618213654,0.11430973559617996,0.11567017436027527,0.11307749897241592,0.0995587408542633,0.08580955117940903,0.09433108568191528,0.09841925650835037,0.11921334266662598
1년전 대비 시장 회전율,0.09049665182828903,0.09202336519956589,0.08124777674674988,0.07924322038888931,0.08651276677846909,0.0952986404299736,0.12042629718780518,0.09863639622926712,0.10100868344306946,0.09103510528802872,0.10074397176504135,0.08437412232160568,0.09489372372627258,0.1117839366197586,0.1060529500246048,0.07084652781486511,0.07208630442619324,0.06633934378623962,0.06582581996917725,0.05840151384472847,0.05677167698740959,0.07990354299545288,0.10226833075284958,0.11062207818031311,0.11639219522476196,0.11545033752918243,0.10010020434856415,0.09848138689994812,0.08534032851457596,0.08359543234109879,0.07676832377910614,0.08519632369279861
1년 전 대비 시장수익률,0.10848947614431381,0.09891200810670853,0.10393694788217545,0.1144350916147232,0.09760154038667679,0.0759592056274414,0.09900342673063278,0.07069473713636398,0.06886375695466995,0.07607132941484451,0.13247162103652954,0.09897543489933014,0.10465171933174133,0.10390370339155197,0.11131876707077026,0.1079765111207962,0.12149640917778015,0.1090780720114708,0.10607581585645676,0.0970848798751831,0.06586696207523346,0.065898597240448,0.06981911510229111,0.0872640535235405,0.08645673096179962,0.09388530254364014,0.09672290831804276,0.0748843178153038,0.08235176652669907,0.09137793630361557,0.1035807654261589,0.06782928854227066
1년 전 대비 고객예탁금 증감률,0.09250953793525696,0.07084475457668304,0.05978288874030113,0.08848198503255844,0.08101847767829895,0.06901336461305618,0.05807744339108467,0.06499940156936646,0.06428568065166473,0.063260018825531,0.09186242520809174,0.1039731353521347,0.10811174660921097,0.10711336135864258,0.10001267492771149,0.06358623504638672,0.06209760531783104,0.06070065125823021,0.08101851493120193,0.11154300719499588,0.10510991513729095,0.0929253101348877,0.09863664954900742,0.07902932912111282,0.07751200348138809,0.0702921524643898,0.07475559413433075,0.08943773806095123,0.08111322671175003,0.0645919069647789,0.09562920033931732,0.09718792140483856
상장일 기준 국고3년시장금리,0.11588196456432343,0.10683058947324753,0.11483699083328247,0.09064897149801254,0.10847501456737518,0.11650773137807846,0.09805866330862045,0.11217600107192993,0.1010969877243042,0.09592442959547043,0.06500022113323212,0.05625121295452118,0.05259262025356293,0.04611785337328911,0.05100126191973686,0.06862493604421616,0.07112167775630951,0.07399917393922806,0.06339722126722336,0.09884650260210037,0.0944356843829155,0.09344393759965897,0.08213639259338379,0.07274054735898972,0.07522224634885788,0.054970819503068924,0.07032638043165207,0.081779845058918,0.0690750926733017,0.08415843546390533,0.08003698289394379,0.08958294987678528
종가_PER,0.08288270980119705,0.09275271743535995,0.09130960702896118,0.08660586178302765,0.10317379981279373,0.10609979182481766,0.13564381003379822,0.17146725952625275,0.1401367336511612,0.10733529180288315,0.11741068214178085,0.17264306545257568,0.17389801144599915,0.15886913239955902,0.1432335525751114,0.12771964073181152,0.11057029664516449,0.09985601156949997,0.09867964684963226,0.10809251666069031,0.11408859491348267,0.08776933699846268,0.08602876216173172,0.06052175164222717,0.05733371898531914,0.07487328350543976,0.07348188012838364,0.07079539448022842,0.12119638174772263,0.09157411754131317,0.09903518110513687,0.09441201388835907
종가_PBR,0.08615892380475998,0.09323246031999588,0.11131811887025833,0.08377287536859512,0.09890148788690567,0.09989321976900101,0.07839634269475937,0.0885373055934906,0.103267140686512,0.12759198248386383,0.06503508985042572,0.07128220051527023,0.057581037282943726,0.07160980254411697,0.05523991212248802,0.09014122933149338,0.0930018424987793,0.08455590158700943,0.12294997274875641,0.10321647673845291,0.12106940895318985,0.13558226823806763,0.10545528680086136,0.11475896090269089,0.10732810944318771,0.1156494989991188,0.10311929136514664,0.08760067820549011,0.09816808253526688,0.11914456635713577,0.09932731837034225,0.08741006255149841
