,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,model_set_32,model_set_33,model_set_34,model_set_35
매출총이익률,0.0852065327835379,0.08409131495939465,0.08549247303774561,0.10720936420721935,0.09687120749182539,0.09469603100513199,0.08071580134010098,0.11176054699109703,0.10226881993983443,0.0948433436812725,0.06659937924925557,0.06264248358973092,0.06336066551766838,0.07314709099741241,0.06710740434553887,0.07975741245367572,0.08163641835703436,0.07445577536984434,0.0725786654671512,0.07312866858760564,0.07709566975981477,0.08441298529213925,0.07938648391608155,0.07806707309028718,0.06943701038438398,0.08045575800660353,0.07623474269310226,0.07808588765204519,0.06987928725016705,0.0680039576457229,0.06626323864865978,0.07600602567072173,0.06907925753934563,0.07126703021086284,0.058593929335625634,0.06435021527248029
유동비율,0.07923772911203288,0.09506303040751636,0.0873517475772069,0.09881916715194079,0.10194183159218682,0.09100974043147592,0.08933188560579766,0.08645304566313719,0.08901852782836152,0.09257597788241576,0.09623604147075432,0.09174769306347529,0.09501798469641945,0.10608809420774348,0.11085293057365794,0.10806245448344257,0.11021756897812747,0.10095200347444747,0.10365479310480374,0.08878624805866872,0.09230796029235949,0.09377121759709978,0.09253212016312153,0.07624314715731367,0.07420360119418674,0.08164751216073386,0.07677968096367133,0.0854758095602216,0.08722914708223907,0.0967046586015611,0.07867360691996662,0.08638503624386375,0.07980990053251723,0.08336473823534574,0.07644098686731575,0.06618631056476176
부채비율,0.07779630481731258,0.09085320194840409,0.08802917409999958,0.08879032400311734,0.09503014090947552,0.09936568227046108,0.09939297893618906,0.08327575601589833,0.09715789474759189,0.1019586743167058,0.1029085436016245,0.11054970492067467,0.10958462854271063,0.10003793421045235,0.10954117086025648,0.0797022123128685,0.07906372482677892,0.0834861083468265,0.06770261129763168,0.06689036080739709,0.07385224479972596,0.07097635284835883,0.07173289606167305,0.07720024893554532,0.09086305805521909,0.08719183854303238,0.08109846362661698,0.07622986813167637,0.07600465935604339,0.08501197016936071,0.09720279918711573,0.10055508569647637,0.10292591634778556,0.12080279957929096,0.10790610664703836,0.09886970758089064
매출액증가율,0.07660081185716648,0.08481969763797119,0.08777592892054867,0.07719278459645477,0.08142336295181063,0.07313014603313078,0.07223670645724635,0.07663009835085334,0.07227557844598245,0.08259140894660703,0.10584257132556905,0.10751641690200808,0.10592892259429566,0.10941161230614936,0.10622472550314269,0.08346382694507046,0.09535247656487118,0.0790400342892357,0.07194394810777566,0.06467649014639036,0.07763354491880844,0.07094956396829236,0.07332260584166511,0.07626224709162552,0.07824666872862407,0.09169134206653035,0.09782518890969563,0.10006447715162174,0.09822326483686453,0.08074138677674746,0.0944175635487052,0.10186481354622028,0.09545625821522599,0.0919083855941133,0.08594078839512316,0.08732841002071891
IPO_PER,0.08148168662031344,0.07785242025931918,0.08324868864737907,0.08219567787663849,0.08310942221675088,0.10012292077357884,0.09761194369079729,0.10122681978564561,0.09393619909051779,0.09750254478312884,0.11123170107237546,0.1138678807896761,0.11782536878476638,0.10807299781598836,0.10885694706952191,0.1206008944480709,0.125954617760981,0.11777623876741802,0.10635662605066648,0.09848412219857977,0.08299677895117923,0.08848970236416757,0.08942195285788936,0.08682280533780347,0.08349184601267365,0.08676534934307042,0.08823277955135433,0.07234237803319443,0.07933632062412001,0.0840354306271227,0.09967415028269866,0.0958429554125259,0.10065566306490692,0.08963295673076654,0.08665203548181494,0.08844737558620017
IPO_PBR,0.09371862079183917,0.08965642809828017,0.08243156357719268,0.08685677351564816,0.0771182115283457,0.08011740142536787,0.09672125889521303,0.09115142137923106,0.08701900411399659,0.08118575829255316,0.110568337312375,0.11795929719463848,0.08900921087722032,0.10691215879881984,0.11049230128629817,0.10433841280072792,0.11417256478971781,0.10525104516467162,0.11475848499195279,0.13817367997956462,0.13583595977946655,0.15134781714254053,0.1602264537317354,0.15793703006973414,0.1627641151299884,0.14932946351489568,0.15680991254478044,0.16348353393886877,0.14573711712992637,0.1515769451901009,0.16340784526771088,0.12702457554171054,0.12895296968038616,0.11541593822491657,0.11402877861238005,0.09522874125923164
IPO_EV/EBITDA,0.07701476079422481,0.08567796095748863,0.08620008640233572,0.08148461063522389,0.08891820630662223,0.09320611959055661,0.09209020810360675,0.08933554757186322,0.10259022909815368,0.11384795623653536,0.1277687617696564,0.09619026185167744,0.08197097998893026,0.08042988641277868,0.09254553290285598,0.10079777167324351,0.09982278897531857,0.09351990155298714,0.10265034976857404,0.09992509685542683,0.1084725596708846,0.08999972294978727,0.09383384123222674,0.1006872027732347,0.098724921626144,0.1137740388328222,0.09995071353273408,0.0990195703180882,0.10133923319562403,0.1062760778317984,0.11460037564327759,0.10671586016292153,0.10419524549135897,0.09896796589247782,0.11008797669573017,0.09625787983248042
1년전 대비 시장 회전율,0.09198063313407079,0.09564342587568939,0.08667185010508256,0.07933628103278345,0.09745476165488416,0.0766033431955496,0.0908111302066358,0.08185336647786734,0.07412925026307794,0.07435264822045463,0.07839307085203444,0.0835154826743468,0.08638693190089518,0.08902520110177692,0.08779715772349272,0.08705943647003539,0.07448467617089011,0.0937097156392203,0.10366932176647525,0.11389252231635193,0.10524903576166424,0.09725274045924168,0.09277095365532263,0.10506071153727942,0.0967959160730889,0.0771173817645895,0.07357174147267462,0.08305963924393862,0.07683195675879628,0.07724690685381867,0.07638728571383062,0.08038276113000764,0.08201571082665292,0.08458395809397948,0.09662573438039637,0.1131045416379657
1년 전 대비 시장수익률,0.1642914093472117,0.09595696969692888,0.09225102350327713,0.09741403978248156,0.09303007632750322,0.08361393123766554,0.08212858915000812,0.08164519909966776,0.07622078030480098,0.07652599430674369,0.06336679068656607,0.07359967623295853,0.07283574654863062,0.0700808273558931,0.07194565920633686,0.06308188587903339,0.06360067324012232,0.07441135695358342,0.06663101801935548,0.07154637586704667,0.07184247559546428,0.07075938170266619,0.07331310148725294,0.06213416868312275,0.07641377526466211,0.07701090906460754,0.07806098947410273,0.07361262750927497,0.08211981067066669,0.07840222500093193,0.06286690357869536,0.0739087350736268,0.08076475010428977,0.08402471954984166,0.0731874825570226,0.07090817723592877
1년 전 대비 고객예탁금 증감률,0.09686830912073911,0.11042996863247868,0.13508052955378388,0.1256621422729369,0.09822226819570662,0.09132985284924271,0.08588344157601048,0.08981871267907601,0.1020297224553723,0.10087510730573228,0.08157179480374031,0.08211743551577154,0.09418786204748468,0.07462259563819564,0.06740491560970246,0.09929014047471182,0.09223883471549292,0.08239834486313355,0.06682530434182632,0.06943857024106966,0.06747133989357829,0.07004940024790646,0.07726874831650953,0.08159145087059703,0.0789102546106059,0.07286317155723776,0.08398165013551447,0.08285963480551796,0.08210014487056659,0.07636058737857848,0.07263488021822442,0.07043486285688945,0.07581090337790043,0.0851942271927513,0.095832186538501,0.11435452509876354
