,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.12590113950897688,0.10413686123342818,0.11297048580109932,0.06361435441651525,0.11580721281402448,0.12389890615963718,0.06395493842242099,0.08956382975618046,0.07807524712043479,0.05410439866280538,0.06732466337698252,0.05940626543782347,0.07608566203908616,0.09107426493694938,0.037311378337384536,0.08073237475136369,0.06638243297155155,0.040817992584166664,0.04199697481629625,0.060154401633983376,0.09386396195409004,0.047627738100098564,0.06233162960269342,0.145022161341466,0.1058919574611052,0.0633059010030215,0.10295749878924763,0.05751474851327176,0.06597225214557302,0.10836156564459153,0.10485715175060846,0.08838131131577827
유동비율,0.13536448277462473,0.09811335063611948,0.10080965262761583,0.13662244070852375,0.14953536307043694,0.10280805268835856,0.0951291677230724,0.10892560857426008,0.04685975404445918,0.06788647046561623,0.08074044485192527,0.1088954319448275,0.09096487182236697,0.09938191466469634,0.12618268482941264,0.09137303958072827,0.06733671443712731,0.160810334573875,0.1894886502173397,0.07815022416319932,0.061579943820618925,0.08092752791554149,0.10056296476606384,0.07609183165001218,0.0870605045059896,0.09823906187923692,0.05409086373323087,0.05786419839240727,0.08219563387609707,0.08143924684754666,0.08824138166697207,0.09108396883757193
부채비율,0.09363066671921058,0.0415416633084432,0.1467658950666298,0.0973505754085828,0.08904057788997499,0.11207737879002157,0.0747792775037032,0.09971259184587623,0.04799554298616148,0.07570772506887789,0.07308076577682446,0.06669445907820397,0.06251692145818424,0.05892418528452724,0.08363912843555693,0.13284380247088567,0.1113724959599778,0.09053255205086036,0.07658729879703194,0.04908240106263369,0.055744883357034015,0.062043972391696324,0.086132268659782,0.04894688267349516,0.08104885179642783,0.07723751331683706,0.09343397624943207,0.08453975883008595,0.09480842736103394,0.07520813305402611,0.06271876933281703,0.08142935716639797
매출액증가율,0.0451749257838283,0.044297241111601146,0.09044296612144616,0.08186916838403409,0.11444966700406818,0.0940935218560256,0.144398627523526,0.0946463650230476,0.07653837463998188,0.10026244210457397,0.10895145060819417,0.10345196180167976,0.12387015215517967,0.09824152557721254,0.11554306212296847,0.10825389121842686,0.0840166818673125,0.08427199995594595,0.12007519140746375,0.09222169200999468,0.10273833902427697,0.10862481316346093,0.12999244771274487,0.10130824890665098,0.07626317445300003,0.06137686486100748,0.07622527503997457,0.0893950060043461,0.07392201585346206,0.12567042951450133,0.113766281048214,0.07312429408077648
IPO_PER,0.06155352821145065,0.07022438114881796,0.09330162988353924,0.12653797536040984,0.1414092506811977,0.14839226858808907,0.17509991462223615,0.14095640050279154,0.18887779300922075,0.15994881583762602,0.2067438891649241,0.15995154550120538,0.15256404983365182,0.13714823244807206,0.15097917248623288,0.09190456403563443,0.1175668445657549,0.09151941476134512,0.06935129873524444,0.14475703793476274,0.14970123603525268,0.1263356017032168,0.12119481007949935,0.11700337751065752,0.16106816155555626,0.12439836287591335,0.14642759334994732,0.15541642372765754,0.12459133604610435,0.15365544134101686,0.12291679133861765,0.1141877829708066
IPO_PBR,0.09563531989020496,0.08660764014935332,0.09374520296847416,0.046744914353795707,0.09845256330658557,0.06845647511053785,0.09840033053363688,0.08869145610459073,0.13313121946068768,0.14013488308227834,0.07665117528317768,0.14439404294553046,0.16195880427448076,0.13293063459647114,0.11820600301264565,0.10851030265286672,0.15530939443141212,0.10960597980081163,0.09005843936704791,0.13992463128206556,0.15993722847279265,0.118013035198113,0.09848236297066586,0.1202637208959466,0.1596812470061548,0.14216542331113435,0.17424763949596084,0.10123513713852476,0.08735863539601338,0.15240887563960187,0.1249656482279936,0.13761969621804082
IPO_EV/EBITDA,0.11859082989310285,0.1615657818295148,0.07030919292837405,0.04438639653829786,0.03109261776767165,0.08379165931308488,0.1196749110788767,0.09573708398473504,0.10723230195817364,0.09880082371788787,0.083080129456587,0.08774952567992836,0.0804817258270918,0.060526372990507275,0.08265500002200908,0.0649806940656414,0.09721770157181613,0.07320065017684388,0.0920789764415322,0.10907560862937016,0.09775453355687053,0.15484681332868835,0.11981151041492152,0.15674411935342947,0.13430813176853887,0.14097725974893374,0.17872085917131242,0.15669005401957295,0.17189280188410533,0.1234604429830539,0.10967143611137006,0.13366972433133056
1년 전 대비 시장수익률,0.14202433241270354,0.10117812400188284,0.07949307742074442,0.151262984290205,0.04424733042174765,0.05337868215485855,0.07950924655279444,0.09858387097507534,0.1491634437146117,0.16153870153552993,0.0915303603353142,0.06763297742215024,0.10283125128089254,0.1383128216013284,0.09330890861827223,0.07706649937804402,0.07667510617038774,0.0965956742188114,0.09822052614032543,0.1294597655376596,0.06559126343070687,0.12059724029773758,0.09986264037292296,0.08536552600980707,0.08623107644158676,0.07736789916029217,0.05622071344508182,0.11267525755036245,0.07991868922412658,0.07367725874815285,0.06815211678384286,0.059494624576774825
1년 전 대비 고객예탁금 증감률,0.06291182635201767,0.1226467576340385,0.1102933974814844,0.05266724982160302,0.050914057124685316,0.08474774181321043,0.0616639349460865,0.04466598168101312,0.05600794330616937,0.04942153571587507,0.06885113046471987,0.11936549395811485,0.09248003212638066,0.10497351986339748,0.10347896018547964,0.09250399059360752,0.0643974119597534,0.07805331452375394,0.03748919286117952,0.09690042650218968,0.11049255830388598,0.07972624121310347,0.07267212566099614,0.07371962413157598,0.018471433105365555,0.09342387549450258,0.04038658846416309,0.0729063625098749,0.09911109289241082,0.037262119046751765,0.08697682281304543,0.09218916890143702
상장일 기준 국고3년시장금리,0.11921294845387985,0.16968819894680054,0.10186849970059267,0.19894394071803265,0.16505135991960745,0.1283553135261764,0.0873896510936467,0.1385168115524298,0.1161183797600995,0.09219420380892944,0.14304599068135074,0.082458296230536,0.05624652918268541,0.0784865280368383,0.08869570195003793,0.15183084125280152,0.15972521606490647,0.17459208735358614,0.18465345121653887,0.10027381124414114,0.10259605204447153,0.10125701668834357,0.10895723975971022,0.07553450752695899,0.08997546190627531,0.12150783834912075,0.07728899226164931,0.11176305331389633,0.12022911532107347,0.06885648718075725,0.11773360092651886,0.12882007160108566
