,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.0170340496855121,0.0384435196165277,0.0772891080830715,0.0401081975978869,0.045463525864234,0.0738451564322111,0.0667636897329498,0.0774916006581006,0.0928323107728842,0.034714381159665,0.069704016652387,0.0432366355096564,0.063200436153428,0.0259233751011696,0.0364862947121573,0.0429629881428457,0.0427051118868843,0.0364887059144567,0.0656762911942973,0.0388260852331817,0.0569064083954163,0.0859731154277466,0.0874184016453643,0.0981199148536811,0.0829727027898877,0.081516053021173,0.0770619104503997,0.0791411374316426,0.0944910888833895,0.0836558326078379,0.0848157443959061,0.0719672956319962
유동비율,0.0640575638230706,0.0542153088895226,0.1384753191643937,0.0533261960976762,0.044012954528857,0.0626428962662477,0.0261320025626295,0.0593016636745105,0.0463084007697381,0.0717384193043508,0.0416005212080075,0.0533773886240488,0.0960584587988722,0.065480743697048,0.0492510483872109,0.0569013917357778,0.0504024821987688,0.0446105866769221,0.03474438132473,0.0408579489431016,0.0327658832241011,0.0307315821681936,0.0615688144941975,0.0519019967787705,0.1068843915122965,0.0793873179757961,0.0976504683929665,0.09156108760073,0.0645374410514021,0.0532052340512453,0.0620809712492829,0.0443110549888984
부채비율,0.0619183073286522,0.0450436645338071,0.0818971442254334,0.0622695010815623,0.0794631383439102,0.1146420033460227,0.0348657948496099,0.0496011273489329,0.038000397562675,0.0741686390930168,0.0432815824123571,0.051773239358097,0.0626792986000868,0.0806899330413079,0.0598656921159618,0.0382474978372051,0.0298370942549349,0.0241704794990449,0.0363947986495444,0.0311354974244354,0.0342604962525164,0.04968713000336,0.0630200741505227,0.0805214019819403,0.062849155027498,0.0509576719343601,0.0378019130985479,0.0542818034374197,0.0215271125617561,0.0382082220150887,0.0375546790380346,0.0744674813506239
매출액증가율,0.044368504174066,0.0312053528530263,0.0470519102831316,0.0474643526055045,0.0416645987359852,0.0346251605609721,0.0767424249428496,0.0409858906022983,0.0473832558984405,0.0679612367050479,0.0525371113285521,0.0567849107594157,0.0479146215455052,0.0451485062348275,0.0394619875353878,0.0400288304971726,0.0391620502756463,0.032963414890481,0.0292183662103113,0.0347928262418433,0.0410710159651505,0.0440600446116449,0.0423540800202576,0.0326025721975271,0.0375496272835045,0.0642534104710478,0.0423621247237508,0.0541071334080569,0.0390061144423218,0.0393171349577298,0.0490219003237472,0.0266447652826755
3개월 후 PER,0.0389553070637463,0.0652033999266132,0.0317536469959236,0.0201050623461761,0.0289503785068157,0.037455053206265,0.0880835525785966,0.0410930522752678,0.0143872125330031,0.0396910647896923,0.0492295349386152,0.0450284994495015,0.0402421831826731,0.0283334154831103,0.038979159113503,0.0430396603802963,0.0331082310122747,0.0413422641963364,0.0438539728065703,0.0502085092865008,0.0414340133662102,0.0457326640972994,0.0668875726276292,0.0635780283498976,0.0512549717880563,0.0615665707889706,0.0560555391627777,0.0397578351645117,0.0654392145320781,0.0329015779644795,0.0682949270250077,0.0403180291088821
3개월 후 PBR,0.0761419016216783,0.0489522601477967,0.0286050524902605,0.040863186856547,0.0344739183238531,0.059591954814053,0.0632053263463367,0.0439926267862752,0.0418377559302527,0.0508358653113849,0.0469860003401201,0.0372334812156025,0.0364933388505114,0.0711315423247082,0.0568771377873986,0.0468991660217485,0.0451670117766785,0.0311453337129026,0.0597789043794086,0.0817301309298881,0.0655156191929481,0.0492919800526315,0.0450393033589464,0.0730867145290857,0.0588822340601741,0.0726003074933669,0.0369819621089763,0.0666983897510774,0.038001291378916,0.0636980376531511,0.0686343122610554,0.0526083647482181
3개월 후 EV/EBITDA,0.065971838849236,0.0951370321045798,0.0315203713486337,0.0404189567662533,0.0328306415401658,0.0263054255311904,0.0277376735069754,0.0430442048607491,0.0341251301514382,0.0306109855691612,0.05613370094492,0.03908939922836,0.0556065829389299,0.0740792828400229,0.0635961225527555,0.0347023324025958,0.0291285236964364,0.0318724654335406,0.0651847885777582,0.0731672466499638,0.0626740952374499,0.0740400720387648,0.0338085786855439,0.0381607611800521,0.0352503487457909,0.0380677007188423,0.0440955090046479,0.073998224514299,0.0532234238730141,0.0509359606322141,0.0738187222126936,0.0444492448715274
3개월 평균 거래량회전율,0.1648810618593303,0.1883265134095333,0.0941560660502228,0.1147945292969853,0.1363421891601465,0.1136781097885456,0.0539456838368333,0.0820396967707616,0.0868624656150347,0.0583920937545929,0.0626412494433131,0.1040645735366551,0.0982045182882661,0.1026373983350985,0.1193545887143208,0.1423319076511012,0.1299683680650884,0.1283898629354334,0.0960326681704725,0.1231953755291273,0.1323830179312796,0.0956966778337512,0.1183473117795026,0.0955887971784641,0.0893807437921717,0.1034809215854392,0.1027351288142973,0.1069391502318594,0.1080457875379931,0.1395526932032666,0.0905002919014538,0.0738378136998055
3개월 평균 일중변동률,0.0546031610383255,0.0798731184656686,0.0498298680037652,0.0451970723976043,0.0761645716561167,0.0947453104372817,0.0580128258207224,0.0277130775176786,0.0397714755709599,0.0259492359335131,0.029775721937094,0.0549536496613518,0.0358678298227639,0.0241290070912979,0.0464479219846436,0.0752090344938122,0.0559076830387318,0.0487133538779082,0.0658713424240051,0.0910747700692043,0.0817670075760682,0.0780491219498041,0.0914319763117736,0.1034050445675712,0.0981866526525107,0.0790820081363486,0.0577645854157133,0.0540985234518118,0.1001712804012586,0.0752370532989909,0.0852675992795164,0.124876486347929
3개월 시가총액회전율,0.1608283843947822,0.1520975743492916,0.0872487845531768,0.1369385695308734,0.12470179403739,0.0522251954630049,0.0646666562653292,0.0859426793016157,0.0988917819925737,0.0533136853532972,0.1054047522137587,0.1172075360628213,0.1029539152312945,0.1328367917573132,0.1275038770248233,0.155357608628631,0.153107533885495,0.1924948009657791,0.1107727770873287,0.133760374450106,0.1143653635723923,0.1249834963161535,0.1271312791904942,0.0967290171190937,0.0976507541300044,0.0953091642324389,0.1301636267107273,0.0855245035606634,0.0740003274698344,0.0835890807362099,0.0761085405020837,0.0453385316801344
3달 후 시장 회전율,0.0416582333103816,0.0204238495458429,0.1218984165722513,0.125975351975621,0.0831311351765003,0.115287887375657,0.1158826034455464,0.1182759493290351,0.1143657916372033,0.1429951230760671,0.1423667523926397,0.0709408773430565,0.037144383860216,0.062040430818759,0.0535416374549012,0.057619751952445,0.0426091586481044,0.0529078990556262,0.0380723665433874,0.0330888847225582,0.0391799834162002,0.0321338964441515,0.0320313442443046,0.0215137555495065,0.0402813709129574,0.0370362311264158,0.0293963770865997,0.0586424050415635,0.0656503849894999,0.0679181818323445,0.0327006303782239,0.0606039530346323
3달 후 시장수익률,0.0402331481050522,0.0506601527559681,0.0319473705634895,0.083140407659902,0.087292921104743,0.0992628779137574,0.0701368166392171,0.0439761932916462,0.0541770649011574,0.0351742208050339,0.0273818635755108,0.0426464665591786,0.0360897879688636,0.0286732419642231,0.0428741362204468,0.0488875552398463,0.0511131288774441,0.0504341047835528,0.0368872252672092,0.0471998331244793,0.0314047293314842,0.0453166220109374,0.0548089594640619,0.0535352930470278,0.0650388569692584,0.0829755781137796,0.0930944111826471,0.0540232022731722,0.0559993512108645,0.0732557757636648,0.0556592799153309,0.0589405222498377
3달 후 고객예탁금 증감률,0.0581605503993454,0.0579746535679136,0.0740557633827609,0.0843273299206027,0.0379248917625373,0.0259391685682727,0.05515670192096,0.0491741770239973,0.0482426714409109,0.0420119554495838,0.0379256015692374,0.0544466662133404,0.0592276159111919,0.0623660997795129,0.0503860995033861,0.0333117089554521,0.0487124712321351,0.0368388747425558,0.0740375331264363,0.0246323262529217,0.059483509462761,0.0358871419947252,0.0445486737228299,0.0272268375376556,0.0266438478411596,0.0303786205124914,0.0433653703321737,0.0619679924053971,0.0638272695149136,0.0489579539038675,0.0308572327591076,0.0902689085378597
상장일 기준 국고3년시장금리,0.0380170105536866,0.0328468706138071,0.0439585464595712,0.0497051570058006,0.0326330771441406,0.0282571982982314,0.1170823736485663,0.1483332861327942,0.1547293432826262,0.1943708781792862,0.1538751654262701,0.0897407885071494,0.1017878010524382,0.0815558190782092,0.0684699574655272,0.1112242511902697,0.1355783585934694,0.1257234323192686,0.151551900617949,0.1305918660227042,0.1215790363400798,0.1043858893742811,0.0581084183195887,0.0342821702646148,0.0418719341586047,0.0312480687734739,0.0522487622560716,0.0377991547890908,0.0576392567560772,0.0833124816162197,0.0824928227248265,0.125887109984051
개인거래비중,0.0731709777931339,0.0395967292201006,0.0603126318239136,0.0553661288610037,0.1149502641146039,0.0614966019982868,0.0815858739028772,0.0890347744263361,0.0880849419411017,0.0780722155163063,0.0811564256172167,0.1394758879717645,0.1265292277949586,0.114974412453391,0.1469043394275753,0.0732763148708,0.1134927925579076,0.1219044209961909,0.0919226836205911,0.0657383251199837,0.0852098207359414,0.1040305656765545,0.0734952119849822,0.1297476948651116,0.1053024083361243,0.0921403751160551,0.0992223112597025,0.0814594569387038,0.0984406553966805,0.066254779763689,0.1021923460337288,0.0654804384829283
Trading,0.11337089627139298,0.11497348386114853,0.0728868376077696,0.08807407502161668,0.11303970474206428,0.08053630442177975,0.06455275995644053,0.07118255700409801,0.0784026662799175,0.05393180763942738,0.06974453730284563,0.10392541180814818,0.09088887278432078,0.09364440240927516,0.11005268178784075,0.1115437164110861,0.11311909438680572,0.12287560969382791,0.09114986782559935,0.10344221129210532,0.10343130245392038,0.10068996544406583,0.10260144481668815,0.10636763843256014,0.09763013972770278,0.09250311726757045,0.09747141305011009,0.0820054085457596,0.09516451270144165,0.0911584017505391,0.08851719442919567,0.0773833175526993
Market,0.044517235592116455,0.04047638162088292,0.06796502424451822,0.08578706164048157,0.0602455062969803,0.06718678303897963,0.08956462391357245,0.0899399014443682,0.09287871781547445,0.10363804437749274,0.0903873457409145,0.06444369965568122,0.05856239719817743,0.05865889791017605,0.05381795766106533,0.06276081683450327,0.06950327933778824,0.06647607772525085,0.07513725638874547,0.05887822753066585,0.06291181463763129,0.0544308874560238,0.04737434893769628,0.034139514099701174,0.04345900247049503,0.04540962463154018,0.05452623021437303,0.053108188627305895,0.0607790656178388,0.06836109827902413,0.050427491444372224,0.08392512345159517
