,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.06335225807550267,0.056717716929597324,0.06847987159814835,0.04171008522521079,0.051463124665728256,0.060030173545049775,0.08488123552273044,0.040328041882162734,0.05562191294895321,0.047101033517127015,0.06264793895726765,0.047549681850603855,0.07287420249971778,0.08738403475218451,0.08262168462270253,0.07847045311619492,0.10490693337232868,0.15138615388239793,0.14596658639661522,0.08785680352787407,0.11376612826418785,0.07872093893484804,0.0789346650769777,0.17192920202918033,0.16664131168730725,0.2030493245783868,0.14468560744501718,0.0749157513778302,0.025390561022312595,0.0529643882226456,0.024230538726153574,0.056269589114824006
유동비율,0.09126382293564524,0.04531428984204691,0.07237979311152598,0.03418413319111953,0.049731868209372136,0.06999047540020825,0.01957786660074944,0.04034117101555068,0.03679709637349631,0.04446633680689052,0.059782847529718325,0.03875698944994455,0.05127894571918573,0.05857789183157595,0.04245326596696601,0.029845253495024177,0.10771972216934804,0.06597449896037258,0.020849379273482942,0.03916940533521252,0.087321988371698,0.03610373803556576,0.08957713903866793,0.05990189937136978,0.06335272696149177,0.1035130486706643,0.10777110328568276,0.08682090441814352,0.09523950603770956,0.14704614909244254,0.06702377242253467,0.10172960815226287
부채비율,0.056058291397526,0.12938473275394852,0.15243444501728132,0.018350896467276025,0.07579298756168018,0.03876495784646697,0.059367905732119426,0.04016801933640054,0.08393535727343439,0.06327210155777956,0.052821877839322615,0.08677656174602398,0.07008791903354378,0.08521233607175108,0.07829834569671676,0.04340161967890418,0.1021435298359633,0.04713901680098166,0.045842950911830015,0.05504029526421261,0.051795768489662684,0.02603001114533077,0.06149592628113745,0.044511116261502406,0.04485023953199188,0.0594558461712333,0.07859261246407526,0.030169060586956058,0.059386231479252836,0.054399030908489236,0.06936243741009816,0.04007358179358186
매출액증가율,0.06189873205766455,0.11272150654560127,0.11951588420996805,0.3409342679582783,0.27881688751974065,0.22398393164280908,0.08078710504662842,0.09027437275573616,0.08649026392672036,0.10432131249888804,0.11118578477040723,0.06096743976193704,0.07292450495862116,0.06673782910690221,0.07955361838278077,0.0979330685319338,0.13834659684532824,0.0901998805541488,0.07107551013048909,0.06161530800974056,0.05923033388360751,0.08471572940537267,0.05188788276274522,0.04502663796328569,0.03893062359834014,0.039020203495924166,0.08119657657139635,0.03648562615774039,0.06055052422699592,0.058087766801592736,0.06699345373275316,0.1925619373204004
1년 전 대비 시장수익률,0.23303715749343346,0.09634409166841894,0.0852424920863816,0.095568850401826,0.08897601325577734,0.07235652406653004,0.20689931292005284,0.14347243206621793,0.1315963964651436,0.092255290727631,0.1277246987445184,0.1443462591908661,0.14169472566675276,0.09520335361269948,0.1166298889094872,0.09728453741312656,0.04566779638893422,0.08443838753797972,0.12550263256286115,0.11618071511589866,0.09668708476630154,0.13261532968367046,0.1188023840135254,0.07827437840030957,0.08466613611984726,0.07693159680811867,0.05477877839136069,0.05835366945679937,0.07828337811165258,0.04882315376776012,0.038128317459952016,0.060622050857614615
1년 전 대비 고객예탁금 증감률,0.10521661250538702,0.12470626270612285,0.05151070471236752,0.09580625644764217,0.11932867462250707,0.07407392265399733,0.05351207050847177,0.0384656846934014,0.06085305214077179,0.1043823555899591,0.060522345403433285,0.0914222561308742,0.07311768670503441,0.04007053863541433,0.055409310428092974,0.06297174368422775,0.04104505015089896,0.092741979883422,0.07964898887973784,0.08717868867520084,0.053958468294927835,0.1004940176818635,0.03728899399851725,0.05756575537131696,0.05127208348888209,0.0550007629384017,0.06140417728053541,0.04641533080091954,0.06519329556548292,0.052033195325326784,0.07223068082356472,0.026226564049402226
상장일 기준 국고3년시장금리,0.056143713145314564,0.10073333021491726,0.10693259443391473,0.16399935107103975,0.13872616506351115,0.24917863827735276,0.11312842920202695,0.1959933411451145,0.20863709072011535,0.08075447025959204,0.1142061366369172,0.1107683445893326,0.08711648651058859,0.06353767169073779,0.08155402256439301,0.10018257841777244,0.03845011922401363,0.05903776321874608,0.06717651806330098,0.06483587561194812,0.06491785217549473,0.07143705813035542,0.05111965349015672,0.13994159273328438,0.1562387253129713,0.12416936075700155,0.04240090511895482,0.0417501419403318,0.02728181904512106,0.013423268553017871,0.05286087545406098,0.04404974441014205
종가_PER,0.15718090693114714,0.1439787189067886,0.15426689841578806,0.05323972649605515,0.07206802357183371,0.06303903516270723,0.16277164172829478,0.1482998211874809,0.13762444786789868,0.18174285833859385,0.21703751497241666,0.21755372342524956,0.16196768500412173,0.20234237448470133,0.28319349683918416,0.2579677087001264,0.1470210056617001,0.1480197687789856,0.196876848455021,0.15849560562796494,0.1840871466099009,0.15344775288687024,0.21558374064059785,0.13872254898552022,0.1522981392460873,0.11682290616278874,0.1330152420577378,0.24814874409704016,0.2693295212276165,0.2040712441805909,0.2140057301306851,0.12884884304288646
종가_PBR,0.06676356299792324,0.09082035353462238,0.09436622657319804,0.06578816833913563,0.03966246315978092,0.061698589936710166,0.05710496596939204,0.06698029004322392,0.058257663525216136,0.0734396541731803,0.028860347788981423,0.04559438564600568,0.058964842621245975,0.04194987539525906,0.016533922429789905,0.057376729188462025,0.1218161585420935,0.14425826201420544,0.08615911806367041,0.17779698617857526,0.14150616882178574,0.1793612425584942,0.15368896966835988,0.114675716141389,0.10401885742492008,0.07485939683939108,0.17271688454200249,0.1438170473356203,0.11404085585908615,0.14094203409056752,0.13151268964308646,0.1483239924352686
종가_EV/EBITDA,0.10908494246045612,0.09927899689793596,0.09487108984142646,0.09041826440241678,0.08543379237006855,0.08688375146816847,0.1619694667695339,0.1956768258747114,0.14018671875825012,0.20826458653035868,0.1652105073570172,0.15626435820916246,0.20997300128118812,0.25898409441877424,0.1637524441598866,0.17456630777422774,0.15288308780939147,0.11680428836876022,0.16090146726299132,0.1518303166533724,0.14672906032243346,0.1370741815376289,0.1416206450293147,0.14945115274284165,0.13773115662816096,0.14717755357808973,0.12343811284323745,0.2331237238286185,0.20530430742476985,0.2282097690575665,0.2636515041971111,0.20129408882361693
