,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.08846151730082617,0.11349998857187497,0.09506272236692691,0.11226976417655096,0.1173749083322407,0.11903880628615535,0.09623033766340093,0.10625940039703437,0.10795444506350864,0.07413836300441946,0.05901601348680965,0.09045216724975624,0.0665193346919281,0.0697702910375659,0.07700823570542806,0.0746774346120128,0.04193051132482785,0.0632017451596064,0.07500403042841523,0.07482056317845961,0.09843059353985337,0.08410709020273399,0.08207670887471157,0.05989325158381793,0.08805691653102288,0.06813267447486479,0.04490378967880001,0.08683650799262407,0.05669233750217504,0.05301016637831716,0.056142330206246344,0.0690134600701038
유동비율,0.14835602189470315,0.15961716480987365,0.16481959069094668,0.19315741301069886,0.1374034012936649,0.13250633000377615,0.19374505223983904,0.07024869847183182,0.07525360401641248,0.03484717739852014,0.0512339729307981,0.030722465515571243,0.03678221374249652,0.03262440617870966,0.048958125769372494,0.03245956733266695,0.044280211662998156,0.062369351045874946,0.0843222263602005,0.08532658865173375,0.05710711206774917,0.0590040558191132,0.060072673622468584,0.06827106061700638,0.047527972797829034,0.076453593383149,0.059386187759701205,0.06677463219919559,0.05407157252977633,0.05569918097543759,0.056399686154977834,0.040161578999550966
부채비율,0.12043052241205583,0.09767719510401437,0.10179059645737924,0.07619724648080901,0.08119286952003459,0.07936456536179133,0.07131480459022731,0.07412695501842942,0.04513149767639536,0.07742438328509804,0.0759898193537634,0.07058326160610665,0.046340292167118186,0.051152359704747796,0.05033067998770291,0.059752350215545605,0.052739436523708896,0.10106330253540563,0.0509432673621054,0.08289326946647871,0.044488649615502536,0.054400431727435375,0.05753617454560323,0.06913493612359592,0.0433487589890761,0.07833039812451466,0.0900955553147168,0.04772207912209665,0.05842123133702407,0.07889623714201968,0.06610473506096609,0.04513486554602882
매출액증가율,0.04941937809378315,0.04952848313019324,0.06009921561157332,0.05186748508558339,0.07771254455682747,0.07371481272968823,0.09247841175503332,0.07051888639090535,0.05090523823753847,0.08643143917486248,0.07508178833743114,0.09424916696507607,0.10554954789303467,0.11055249270856385,0.10136616595981754,0.09644644463621074,0.1158154927454726,0.08749393309789073,0.08311886124354285,0.0725887654233742,0.09670769267303023,0.1042953086699105,0.0998846695989473,0.12221296159646049,0.10718148350123564,0.11761162154154639,0.08968255863484222,0.11346321273748983,0.1007823618430308,0.09524633119564979,0.09891987132701063,0.1565992971413895
1년전 대비 시장 회전율,0.13455506813638377,0.10745604167702835,0.14774873470229485,0.12182431998287843,0.12617410979496577,0.09304894030367024,0.04499492995558599,0.1188215903650847,0.099103262594713,0.09577747534919152,0.06112689661272206,0.061062446006388424,0.09810892182453722,0.08005109408138047,0.11206896011533174,0.10872244147055865,0.14696868740783842,0.11838503140203915,0.16035048957318096,0.13177479605713044,0.13607785557327387,0.14523913654646492,0.14176975597055183,0.05723397933019975,0.09280840539379237,0.08188461618393875,0.07200395549709693,0.07388769668492326,0.12313061698920373,0.09496163819302145,0.05741644303294399,0.07458717866880941
1년 전 대비 시장수익률,0.10933892838037744,0.11094591912454688,0.11266569225906373,0.07047069182396791,0.09081358221159977,0.09538239712388745,0.10716351508598487,0.09580567251546217,0.11992582013931555,0.1011520445741285,0.08287128280038063,0.098518835673432,0.11305295311625264,0.18687026874303367,0.12864281109702808,0.08702618984959853,0.14040000526004517,0.06585450517098401,0.14162989400392553,0.08861018992668022,0.10175358564719417,0.07946339883102187,0.10211697330070907,0.10893650246112337,0.08282306657326857,0.08704681631289352,0.1564551314801482,0.07014939014226565,0.057989384387170495,0.05432153790748155,0.06551579848833929,0.08656845574660463
1년 전 대비 고객예탁금 증감률,0.07781202992077267,0.0638774636566792,0.06381451760853994,0.08601380357835071,0.1134882118636964,0.11934141489096321,0.06723374218965761,0.06507712830687779,0.05216303190628367,0.06040265434343782,0.11502655516332065,0.12136925650469163,0.12453035562555012,0.10131863951062944,0.10458596369483433,0.11667729043799153,0.09550068330057812,0.11914573142350471,0.09985083914913866,0.10296997316745542,0.06641596157177414,0.07637109200997852,0.07749355177019472,0.10890368906980048,0.13455229541271482,0.07540140243984916,0.06980928342151406,0.07961655798611147,0.0520467570259176,0.05341439799037547,0.06344544249401878,0.05773994850438634
상장일 기준 국고3년시장금리,0.0705738358876585,0.06656508897983855,0.08009226465287382,0.0350169683360985,0.06299045557117089,0.08324117721575516,0.061579554487463065,0.13398418431059603,0.1610994969225026,0.08171816559416649,0.0746678838722918,0.1105132274635291,0.12847265681823597,0.08732706061604528,0.08118406503321196,0.11340678791255339,0.06547833866545108,0.09992698709514487,0.07585396719319028,0.06383991915629664,0.08839729571453225,0.07013507270842798,0.06262022058312378,0.05955144870121839,0.04357454226913325,0.06816432258494533,0.07439595263508068,0.04493024280828821,0.0450578079744158,0.04416439100843829,0.045609826078122355,0.06730516717420618
종가_PER,0.09468488471120809,0.09507769838411348,0.08057400840396263,0.09162789353162222,0.05494102325940009,0.06941483710536897,0.15105161580617138,0.08273961721197014,0.1356226700795449,0.1893170376266067,0.20344791363408077,0.1230001783156575,0.09658477573221104,0.05051077023916125,0.08512588081839653,0.08453455885810071,0.06346052919824655,0.05016190397685227,0.05357111173381474,0.07156410822206406,0.09236318347519541,0.114548458861318,0.10875348771553627,0.06631953508873517,0.0840066522419838,0.08959411425540927,0.08906211135058142,0.12416598180933444,0.14369579021709594,0.12106803129655697,0.135179728726155,0.11981606577689641
종가_PBR,0.050979733410476236,0.05940555876225236,0.04180098553196902,0.08652385968708504,0.06365943803580817,0.07926014982408246,0.04476637551015233,0.09827316417081063,0.09439722130735308,0.121554384560191,0.10538344467131855,0.13147597351992318,0.1338214434775466,0.1743077731971678,0.1838380793624241,0.18405970140848765,0.16136677936634197,0.18412865110831916,0.13678677799145272,0.15097870705907251,0.15291033239297006,0.15758076914296354,0.164446558873501,0.1673580156641368,0.1469213661498114,0.13703350543116455,0.18526835215380105,0.1868724799747513,0.16551102918866029,0.19744231002541296,0.23590295725745836,0.1420466180197124
