,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,model_set_32,model_set_33,model_set_34,model_set_35
Train_1,43,37,38,35,30,26,26,24,19,17,15,6,7,8,10,13,13,13,14,17,20,20,23,23,25,29,29,26,31,31,34,37,36,36,35,37
Train_2,22,19,19,17,17,16,14,15,14,13,12,14,14,17,19,25,24,25,26,27,29,30,32,28,30,28,27,27,28,28,33,30,30,31,29,35
Train_3,61,56,51,50,51,50,47,44,43,44,41,41,38,45,52,67,63,63,65,69,69,77,83,81,82,77,72,63,62,63,65,64,62,52,61,64
Train_4,14,11,14,17,17,17,15,14,12,11,13,13,12,13,10,12,14,14,14,19,19,19,21,20,22,21,25,24,22,21,21,20,21,20,17,16
Train_5,15,14,14,14,12,11,8,13,12,10,15,28,28,30,31,38,41,41,41,38,39,39,39,29,32,30,32,34,31,33,36,36,37,38,36,38
Test_1,3,3,3,2,1,1,0,2,3,4,7,9,9,8,7,6,8,8,9,8,8,13,13,12,15,10,12,17,13,13,10,8,6,6,4,0
Test_2,3,3,3,6,5,5,5,7,6,9,11,12,13,11,10,8,10,10,11,8,7,7,6,11,11,11,16,11,12,13,7,13,11,9,8,1
Test_3,9,11,11,19,16,16,16,14,13,18,25,34,34,29,24,21,22,30,34,26,26,18,14,16,14,15,17,22,22,19,30,26,36,35,18,10
Test_4,6,7,4,1,1,1,3,5,5,5,3,6,8,8,8,8,6,6,10,6,8,7,7,10,8,8,4,4,5,5,6,2,3,3,2,2
Test_5,1,1,1,8,8,8,13,19,19,21,17,11,14,12,11,8,6,6,11,10,12,12,10,16,13,15,15,10,12,11,11,12,16,15,11,6
